,NP,NP_Synthesis,Drug_dose (μg/disk),NP_concentration (μg/ml),NP size_avg (nm),shape,method,Bacteria,Drug,reference,time (hr),Valance_electron,Phylum,Class,Order,Family,Genus,Superkingdom,Species,bac_type,gram,"min_Incub_period, h","growth_temp, C",biosafety_level,isolated_from,MaxAbsEStateIndex,MinEStateIndex,qed,BCUT2D_MWHI,AvgIpc,BalabanJ,PEOE_VSA13,PEOE_VSA14,PEOE_VSA4,PEOE_VSA6,PEOE_VSA8,SlogP_VSA4,SlogP_VSA8,EState_VSA6,EState_VSA7,VSA_EState9,NumAliphaticCarbocycles,fr_ArN,fr_Imine,fr_alkyl_halide,fr_allylic_oxid,fr_unbrch_alkane,Drug_class,ZOI_drug (mm),ZOI_NP (mm),ZOI_Drug_NP (mm)
18,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,500.0,30.0,13.5,nanorods and triangles,disc_diffusion,Haemophilus influenzae,Trimethoprim,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,18,11,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,Bacteria,Haemophilus influenzae,pathogenic,n,24.0,37,2,respiratory tract,5.848108466,0.15383521,0.853355507,16.52993347,2.485378414,2.397562137,0.0,0.0,4.983978521,0.0,18.18111669,0.0,0.0,27.5262362,12.13273414,4.703740547,0,2,0,0,0,0,phenol ethers,7.0,7.4120326,13.0
19,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,500.0,30.0,13.5,nanorods and triangles,disc_diffusion,Pseudomonas aeruginosa,Nitrofurantoin,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,18,11,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Bacteria,Pseudomonas aeruginosa,opportunistic pathogen,n,24.0,37,2,soil,11.06077649,-0.691042953,0.345747846,16.64845383,2.822017561,2.070287586,0.0,11.91529671,5.101407526,0.0,0.0,10.11431827,0.0,0.0,5.316788604,0.0,0,0,0,0,0,0,Azolidines,7.0,7.6775556,11.0
20,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,500.0,30.0,13.5,nanorods and triangles,disc_diffusion,Pseudomonas aeruginosa,Trimethoprim,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,18,11,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Bacteria,Pseudomonas aeruginosa,opportunistic pathogen,n,24.0,37,2,soil,5.848108466,0.15383521,0.853355507,16.52993347,2.485378414,2.397562137,0.0,0.0,4.983978521,0.0,18.18111669,0.0,0.0,27.5262362,12.13273414,4.703740547,0,2,0,0,0,0,phenol ethers,7.0,7.6775556,11.0
21,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,500.0,30.0,13.5,nanorods and triangles,disc_diffusion,Pseudomonas aeruginosa,Amoxicillin,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,18,11,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Bacteria,Pseudomonas aeruginosa,opportunistic pathogen,n,24.0,37,2,soil,12.3475389,-1.056554474,0.553031528,32.16690631,2.80360909,1.704346484,0.0,5.969305288,0.0,12.13273414,4.747022453,0.0,0.0,13.8474744,0.0,0.0,0,0,0,0,0,0,Lactams,7.0,7.6775556,12.0
22,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,500.0,30.0,13.5,nanorods and triangles,disc_diffusion,Pseudomonas aeruginosa,Erythromycin,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,18,11,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Bacteria,Pseudomonas aeruginosa,opportunistic pathogen,n,24.0,37,2,soil,14.07322487,-1.994405755,0.237872506,16.71366525,3.051689271,2.183066335,0.0,5.969305288,0.0,27.6949488,37.32617813,23.67162418,0.0,41.5424232,25.9189909,5.176381084,0,0,0,0,0,0,Organooxygen compounds,7.0,7.6775556,13.0
23,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,500.0,30.0,13.5,nanorods and triangles,disc_diffusion,Pseudomonas aeruginosa,Nalidixic acid,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,18,11,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Bacteria,Pseudomonas aeruginosa,opportunistic pathogen,n,24.0,37,2,soil,11.91519274,-1.208634259,0.849523695,16.36620625,2.28567803,2.946743973,0.0,5.969305288,0.0,0.0,18.43552797,6.9237372,11.03340144,16.69983378,13.8474744,0.0,0,0,0,0,0,0,Diazanaphthalenes,7.0,7.6775556,13.0
24,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,500.0,30.0,13.5,nanorods and triangles,disc_diffusion,Pseudomonas aeruginosa,Kanamycin,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,18,11,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Bacteria,Pseudomonas aeruginosa,opportunistic pathogen,n,24.0,37,2,soil,10.93437059,-1.661604858,0.166853652,16.72393442,2.785013665,1.722064446,0.0,0.0,0.0,0.0,18.62843806,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,Organooxygen compounds,7.0,7.6775556,16.0
25,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,500.0,30.0,13.5,nanorods and triangles,disc_diffusion,Pseudomonas aeruginosa,Vancomycin,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,18,11,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Bacteria,Pseudomonas aeruginosa,opportunistic pathogen,n,24.0,37,2,soil,16.01721414,-2.345197559,0.074348004,35.49679308,0.775398175,1.239428306,0.0,5.969305288,0.0,55.24845539,34.71646842,5.917906046,11.12690298,0.0,13.8474744,1.472308693,0,0,0,0,0,0,carboxylic acids,7.0,7.6775556,16.0
26,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,500.0,30.0,13.5,nanorods and triangles,disc_diffusion,Pseudomonas aeruginosa,Chloramphenicol,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,18,11,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Bacteria,Pseudomonas aeruginosa,opportunistic pathogen,n,24.0,37,2,soil,11.30478637,-1.325823356,0.409070928,35.53916853,2.431670248,2.82115815,11.594566,0.0,0.0,23.20187978,12.13273414,10.11431827,0.0,0.0,0.0,0.0,0,0,0,2,0,0,Benzene derivatives,7.0,7.6775556,17.0
27,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,500.0,30.0,13.5,nanorods and triangles,disc_diffusion,Salmonella typhi,Trimethoprim,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,18,11,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Bacteria,Salmonella enterica subsp. enterica serovar Typhi,pathogenic,n,168.0,37,2,blood,5.848108466,0.15383521,0.853355507,16.52993347,2.485378414,2.397562137,0.0,0.0,4.983978521,0.0,18.18111669,0.0,0.0,27.5262362,12.13273414,4.703740547,0,2,0,0,0,0,phenol ethers,7.0,7.982969,7.0
28,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,500.0,30.0,13.5,nanorods and triangles,disc_diffusion,Salmonella typhi,Amikacin,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,18,11,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Bacteria,Salmonella enterica subsp. enterica serovar Typhi,pathogenic,n,168.0,37,2,blood,12.57843074,-1.755830655,0.113063794,16.72419483,2.923761602,1.847903729,0.0,0.0,0.0,0.0,12.58659724,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,Organooxygen compounds,7.0,7.982969,8.0
29,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,500.0,30.0,13.5,nanorods and triangles,disc_diffusion,Salmonella typhi,Gentamicin,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,18,11,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Bacteria,Salmonella enterica subsp. enterica serovar Typhi,pathogenic,n,168.0,37,2,blood,11.12947795,-1.286897326,0.18159831,16.71320241,2.756468014,1.684740507,0.0,0.0,0.0,0.0,18.12552249,0.0,0.0,13.97140918,13.97140918,3.492765241,1,0,0,0,0,0,Aminoglycoside ,7.0,7.982969,9.0
30,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,500.0,30.0,13.5,nanorods and triangles,disc_diffusion,Salmonella typhi,Nitrofurantoin,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,18,11,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Bacteria,Salmonella enterica subsp. enterica serovar Typhi,pathogenic,n,168.0,37,2,blood,11.06077649,-0.691042953,0.345747846,16.64845383,2.822017561,2.070287586,0.0,11.91529671,5.101407526,0.0,0.0,10.11431827,0.0,0.0,5.316788604,0.0,0,0,0,0,0,0,Azolidines,7.0,7.982969,9.0
31,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,500.0,30.0,13.5,nanorods and triangles,disc_diffusion,Salmonella typhi,Kanamycin,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,18,11,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Bacteria,Salmonella enterica subsp. enterica serovar Typhi,pathogenic,n,168.0,37,2,blood,10.93437059,-1.661604858,0.166853652,16.72393442,2.785013665,1.722064446,0.0,0.0,0.0,0.0,18.62843806,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,Organooxygen compounds,7.0,7.982969,10.0
32,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,500.0,30.0,13.5,nanorods and triangles,disc_diffusion,Salmonella typhi,Streptomycin,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,18,11,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Bacteria,Salmonella enterica subsp. enterica serovar Typhi,pathogenic,n,168.0,37,2,blood,12.06698364,-2.383546555,0.068244795,16.76083165,3.130220139,1.964431069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.417915666,1,0,2,0,0,0,Organooxygen compounds,7.0,7.982969,10.0
33,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,500.0,30.0,13.5,nanorods and triangles,disc_diffusion,Salmonella typhi,Amoxicillin,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,18,11,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Bacteria,Salmonella enterica subsp. enterica serovar Typhi,pathogenic,n,168.0,37,2,blood,12.3475389,-1.056554474,0.553031528,32.16690631,2.80360909,1.704346484,0.0,5.969305288,0.0,12.13273414,4.747022453,0.0,0.0,13.8474744,0.0,0.0,0,0,0,0,0,0,Lactams,7.0,7.982969,12.0
34,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,500.0,30.0,13.5,nanorods and triangles,disc_diffusion,Salmonella typhi,Erythromycin,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,18,11,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Bacteria,Salmonella enterica subsp. enterica serovar Typhi,pathogenic,n,168.0,37,2,blood,14.07322487,-1.994405755,0.237872506,16.71366525,3.051689271,2.183066335,0.0,5.969305288,0.0,27.6949488,37.32617813,23.67162418,0.0,41.5424232,25.9189909,5.176381084,0,0,0,0,0,0,Organooxygen compounds,7.0,7.982969,13.0
35,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,500.0,30.0,13.5,nanorods and triangles,disc_diffusion,Pseudomonas koreensis,Amoxicillin,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,18,11,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Bacteria,Pseudomonas koreensis,opportunistic pathogen,n,24.0,30,1,soil,12.3475389,-1.056554474,0.553031528,32.16690631,2.80360909,1.704346484,0.0,5.969305288,0.0,12.13273414,4.747022453,0.0,0.0,13.8474744,0.0,0.0,0,0,0,0,0,0,Lactams,7.0,8.349525,10.0
36,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,500.0,30.0,13.5,nanorods and triangles,disc_diffusion,Pseudomonas koreensis,Nalidixic acid,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,18,11,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Bacteria,Pseudomonas koreensis,opportunistic pathogen,n,24.0,30,1,soil,11.91519274,-1.208634259,0.849523695,16.36620625,2.28567803,2.946743973,0.0,5.969305288,0.0,0.0,18.43552797,6.9237372,11.03340144,16.69983378,13.8474744,0.0,0,0,0,0,0,0,Diazanaphthalenes,7.0,8.349525,13.0
37,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,500.0,30.0,13.5,nanorods and triangles,disc_diffusion,Pseudomonas koreensis,Nitrofurantoin,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,18,11,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Bacteria,Pseudomonas koreensis,opportunistic pathogen,n,24.0,30,1,soil,11.06077649,-0.691042953,0.345747846,16.64845383,2.822017561,2.070287586,0.0,11.91529671,5.101407526,0.0,0.0,10.11431827,0.0,0.0,5.316788604,0.0,0,0,0,0,0,0,Azolidines,7.0,8.349525,13.0
38,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,500.0,30.0,13.5,nanorods and triangles,disc_diffusion,Pseudomonas koreensis,Trimethoprim,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,18,11,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Bacteria,Pseudomonas koreensis,opportunistic pathogen,n,24.0,30,1,soil,5.848108466,0.15383521,0.853355507,16.52993347,2.485378414,2.397562137,0.0,0.0,4.983978521,0.0,18.18111669,0.0,0.0,27.5262362,12.13273414,4.703740547,0,2,0,0,0,0,phenol ethers,7.0,8.349525,13.0
39,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,500.0,30.0,13.5,nanorods and triangles,disc_diffusion,Pseudomonas koreensis,Piperacillin,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,18,11,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Bacteria,Pseudomonas koreensis,opportunistic pathogen,n,24.0,30,1,soil,13.31949337,-1.261721545,0.344807402,32.16690711,3.102907875,1.508034016,0.0,23.81477926,0.0,30.33183534,24.38129167,0.0,0.0,51.10304694,0.0,0.0,0,0,0,0,0,0,Carboxylic acids and derivatives,7.0,8.349525,15.0
40,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,500.0,30.0,13.5,nanorods and triangles,disc_diffusion,Serratia odorifera,Vancomycin,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,18,11,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,Bacteria,Serratia odorifera,opportunistic pathogen,n,6.0,30,1,soil,16.01721414,-2.345197559,0.074348004,35.49679308,0.775398175,1.239428306,0.0,5.969305288,0.0,55.24845539,34.71646842,5.917906046,11.12690298,0.0,13.8474744,1.472308693,0,0,0,0,0,0,carboxylic acids,7.0,8.357065,8.0
