,NP,NP_Synthesis,Drug,Drug_class,Drug_dose (μg/disk),NP_concentration (μg/ml),NP size_avg (nm),shape,method,Bacteria,Drug,reference,amw,lipinskiHBA,chi4v,Phylum,Class,Order,Family,Genus,Superkingdom,Species,bac_type,gram,"avg_Incub_period, h","growth_temp, C",isolated_from,MaxAbsEStateIndex,MinEStateIndex,SPS,MolWt,BCUT2D_MWHI,AvgIpc,BalabanJ,PEOE_VSA13,PEOE_VSA14,PEOE_VSA4,PEOE_VSA6,PEOE_VSA8,SlogP_VSA4,SlogP_VSA8,EState_VSA6,EState_VSA7,VSA_EState9,NumAliphaticCarbocycles,fr_ArN,fr_alkyl_halide,fr_allylic_oxid,ZOI_NP (mm),ZOI_drug (mm),ZOI_Drug_NP (mm)
23,Ag,green_synthesis using Acinetobacter calcoaceticus,Vancomycin,carboxylic acids,30.0,15.0,10.0,spherical,disc_diffusion,Acinetobacter baumannii,Vancomycin,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,107.868,0,0.0,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Bacteria,Acinetobacter baumannii,pathogenic,n,36.0,37,urine,16.01721414,-2.345197559,29.43564356,1449.271,35.49679308,0.775398175,1.239428306,0.0,5.969305288,0.0,55.24845539,34.71646842,5.917906046,11.12690298,0.0,13.8474744,1.472308693,0,0,0,0,9.185204854,10.0,7.0
24,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,Nalidixic acid,Diazanaphthalenes,500.0,30.0,13.5,nanorods and triangles,disc_diffusion,Klebsiella pneumoniae,Nalidixic acid,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,107.868,0,0.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Bacteria,Klebsiella pneumoniae,opportunistic pathogen,n,48.0,30,respiratory tract,11.91519274,-1.208634259,10.70588235,232.239,16.36620625,2.28567803,2.946743973,0.0,5.969305288,0.0,0.0,18.43552797,6.9237372,11.03340144,16.69983378,13.8474744,0.0,0,0,0,0,9.201636877,7.0,7.0
25,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,Ampicillin,Organoheterocyclic compounds,500.0,30.0,13.5,nanorods and triangles,disc_diffusion,Proteus mirabilis,Ampicillin,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,107.868,0,0.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Morganellaceae,Proteus,Bacteria,Proteus mirabilis,pathogenic,n,48.0,37,urine,12.33417297,-1.033228263,28.70833333,349.412,32.16690623,2.80395312,1.711293316,0.0,5.969305288,0.0,30.33183534,4.747022453,0.0,0.0,38.11294267,6.066367068,0.0,0,0,0,0,9.941607907,7.0,7.0
26,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,Trimethoprim,phenol ethers,500.0,30.0,13.5,nanorods and triangles,disc_diffusion,Proteus mirabilis,Trimethoprim,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,107.868,0,0.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Morganellaceae,Proteus,Bacteria,Proteus mirabilis,pathogenic,n,48.0,37,urine,5.848108466,0.15383521,10.23809524,290.323,16.52993347,2.485378414,2.397562137,0.0,0.0,4.983978521,0.0,18.18111669,0.0,0.0,27.5262362,12.13273414,4.703740547,0,2,0,0,9.941607907,7.0,7.0
27,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,Ceftriaxone,Lactams,500.0,30.0,13.5,nanorods and triangles,disc_diffusion,Escherichia coli,Ceftriaxone,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,107.868,0,0.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Bacteria,Escherichia coli,pathogenic,n,84.0,37,urine,12.91680492,-1.306214252,19.55555556,554.592,32.16802576,3.266455922,1.507133729,17.6943478,11.52857218,4.983978521,16.91759768,23.93344197,0.0,0.0,0.0,0.0,2.723496797,0,1,0,0,10.10049904,7.0,7.0
28,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,Rifampicin,Macrolactams,500.0,30.0,13.5,nanorods and triangles,disc_diffusion,Staphylococcus aureus,Rifampicin,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,107.868,0,0.0,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Bacteria,Staphylococcus aureus,pathogenic,p,36.0,37,skin,14.42562962,-2.042566018,32.06779661,822.953,16.70616735,3.461567498,1.703590875,11.69042468,11.75641644,5.101407526,45.92300912,87.33070199,30.59536138,10.77244843,44.85590154,7.047671983,3.420644351,0,0,0,2,11.26240853,7.0,7.0
29,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,Nitrofurantoin,Azolidines,500.0,30.0,13.5,nanorods and triangles,disc_diffusion,Staphylococcus aureus,Nitrofurantoin,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,107.868,0,0.0,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Bacteria,Staphylococcus aureus,pathogenic,p,36.0,37,skin,11.06077649,-0.691042953,15.64705882,238.159,16.64845383,2.822017561,2.070287586,0.0,11.91529671,5.101407526,0.0,0.0,10.11431827,0.0,0.0,5.316788604,0.0,0,0,0,0,11.26240853,7.0,7.0
30,Au,green_synthesis from aqueous extract of Adiantum philippense,Amoxicillin,Lactams,19.25,25.0,34.0,spherical and triangular,well_diffusion,Staphylococcus aureus,Amoxicillin,https://www.sciencedirect.com/science/article/pii/S0928493115306846,196.967,0,0.0,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Bacteria,Staphylococcus aureus,pathogenic,p,36.0,37,skin,12.3475389,-1.056554474,28.04,365.411,32.16690631,2.80360909,1.704346484,0.0,5.969305288,0.0,12.13273414,4.747022453,0.0,0.0,13.8474744,0.0,0.0,0,0,0,0,17.11576918,15.32184835,7.0
31,Fe3O4,chemical_synthesis by controlled precipitation of iron chloride salts,Gentamicin,Aminoglycoside ,34.0,3000.0,14.0,spherical,disc_diffusion,Pseudomonas aeruginosa,Gentamicin,https://iopscience.iop.org/article/10.1088/2053-1591/aa8652/meta#mrxaa8652s2,231.531,4,0.144587936,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Bacteria,Pseudomonas aeruginosa,opportunistic pathogen,n,48.0,37,soil,11.12947795,-1.286897326,50.18181818,477.603,16.71320241,2.756468014,1.684740507,0.0,0.0,0.0,0.0,18.12552249,0.0,0.0,13.97140918,13.97140918,3.492765241,1,0,0,0,17.3491978,25.42355331,7.0
32,Au,green_synthesis using Pleurotus ostreatus,Ciprofloxacin,Quinolines,5.0,25.0,20.0,spherical,disc_diffusion,Bacillus subtilis,Ciprofloxacin,https://japsonline.com/admin/php/uploads/2634_pdf.pdf,196.967,0,0.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacteria,Bacillus subtilis,non-pathogenic,p,7.08,30,soil,14.60768519,-1.27510223,18.125,331.347,19.14221558,3.403898859,1.948598125,0.0,5.969305288,0.0,0.0,43.80393424,5.817220841,10.90292493,6.066367068,9.467009379,0.0,1,0,0,0,14.27177539,26.0,7.81
33,Au,green_synthesis using Pleurotus ostreatus,Levofloxacin,Quinolines,5.0,25.0,20.0,spherical,disc_diffusion,Staphylococcus aureus,Levofloxacin,https://japsonline.com/admin/php/uploads/2634_pdf.pdf,196.967,0,0.0,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Bacteria,Staphylococcus aureus,pathogenic,p,36.0,37,skin,14.98365316,-1.315329409,20.26923077,361.373,19.14222038,2.600812137,2.004088915,0.0,5.969305288,0.0,0.0,32.3758692,5.817220841,10.90292493,4.567099648,18.87131891,2.015277596,0,0,0,0,15.42537987,25.0,7.81
34,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,Amoxicillin,Lactams,500.0,30.0,13.5,nanorods and triangles,disc_diffusion,Enterobacter cloacae,Amoxicillin,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,107.868,0,0.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Bacteria,Enterobacter cloacae,opportunistic pathogen,n,42.0,30,water,12.3475389,-1.056554474,28.04,365.411,32.16690631,2.80360909,1.704346484,0.0,5.969305288,0.0,12.13273414,4.747022453,0.0,0.0,13.8474744,0.0,0.0,0,0,0,0,6.402480412,7.0,8.0
35,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,Erythromycin,Organooxygen compounds,500.0,30.0,13.5,nanorods and triangles,disc_diffusion,Enterobacter cloacae,Erythromycin,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,107.868,0,0.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Bacteria,Enterobacter cloacae,opportunistic pathogen,n,42.0,30,water,14.07322487,-1.994405755,49.74509804,733.937,16.71366525,3.051689271,2.183066335,0.0,5.969305288,0.0,27.6949488,37.32617813,23.67162418,0.0,41.5424232,25.9189909,5.176381084,0,0,0,0,6.402480412,7.0,8.0
36,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,Vancomycin,carboxylic acids,500.0,30.0,13.5,nanorods and triangles,disc_diffusion,Serratia odorifera,Vancomycin,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,107.868,0,0.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,Bacteria,Serratia odorifera,opportunistic pathogen,n,24.0,30,soil,16.01721414,-2.345197559,29.43564356,1449.271,35.49679308,0.775398175,1.239428306,0.0,5.969305288,0.0,55.24845539,34.71646842,5.917906046,11.12690298,0.0,13.8474744,1.472308693,0,0,0,0,6.689265154,7.0,8.0
37,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,Erythromycin,Organooxygen compounds,500.0,30.0,13.5,nanorods and triangles,disc_diffusion,Serratia odorifera,Erythromycin,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,107.868,0,0.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,Bacteria,Serratia odorifera,opportunistic pathogen,n,24.0,30,soil,14.07322487,-1.994405755,49.74509804,733.937,16.71366525,3.051689271,2.183066335,0.0,5.969305288,0.0,27.6949488,37.32617813,23.67162418,0.0,41.5424232,25.9189909,5.176381084,0,0,0,0,6.689265154,7.0,8.0
38,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,Nitrofurantoin,Azolidines,500.0,30.0,13.5,nanorods and triangles,disc_diffusion,Serratia odorifera,Nitrofurantoin,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,107.868,0,0.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,Bacteria,Serratia odorifera,opportunistic pathogen,n,24.0,30,soil,11.06077649,-0.691042953,15.64705882,238.159,16.64845383,2.822017561,2.070287586,0.0,11.91529671,5.101407526,0.0,0.0,10.11431827,0.0,0.0,5.316788604,0.0,0,0,0,0,6.689265154,7.0,8.0
39,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,Ceftazidime,Lactams,500.0,30.0,13.5,nanorods and triangles,disc_diffusion,Acinetobacter baumannii,Ceftazidime,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,107.868,0,0.0,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Bacteria,Acinetobacter baumannii,pathogenic,n,36.0,37,urine,13.11432809,-1.753218546,19.67567568,546.587,32.1666812,3.279136562,1.551044932,11.81435946,5.969305288,0.0,11.2220798,28.83875504,0.0,0.0,29.09352093,6.066367068,0.0,0,1,0,0,6.927108084,8.0,8.0
