,NP,NP_Synthesis,shape,method,Bacteria,time (hr),Phylum,Class,Order,Family,Superkingdom,bac_type,gram,isolated_from,NP_concentration (μg/ml),NP size_min (nm),NP size_max (nm),Valance_electron,amw,lipinskiHBA,NumHBA,chi0v,kappa1,"min_Incub_period, h","growth_temp, C",biosafety_level,reference,ZOI_NP (mm)
11,Ag,green_synthesis from fungus  Phytophthora infestans,spherical,disc_diffusion,Pseudomonas aeruginosa,24.0,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Bacteria,opportunistic pathogen,n,soil,2.5,5.0,80.0,11,107.868,0,0,1.78376517,1.74025974,24.0,37.0,2.0,https://www.nature.com/articles/srep29982,12.0
12,Ag,green_synthesis from fungus  Phytophthora infestans,spherical,disc_diffusion,Pseudomonas aeruginosa,24.0,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Bacteria,opportunistic pathogen,n,soil,2.5,5.0,80.0,11,107.868,0,0,1.78376517,1.74025974,24.0,37.0,2.0,https://www.nature.com/articles/srep29982,13.0
13,Ag,green_synthesis from fungus  Phytophthora infestans,spherical,disc_diffusion,Pseudomonas aeruginosa,24.0,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Bacteria,opportunistic pathogen,n,soil,2.5,5.0,80.0,11,107.868,0,0,1.78376517,1.74025974,24.0,37.0,2.0,https://www.nature.com/articles/srep29982,14.0
14,Ag,green_synthesis from fungus  Phytophthora infestans,spherical,disc_diffusion,Pseudomonas aeruginosa,24.0,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Bacteria,opportunistic pathogen,n,soil,2.5,5.0,80.0,11,107.868,0,0,1.78376517,1.74025974,24.0,37.0,2.0,https://www.nature.com/articles/srep29982,18.0
15,Ag,green_synthesis from fungus  Phytophthora infestans,spherical,disc_diffusion,Escherichia coli,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria,pathogenic,n,urine,2.5,5.0,80.0,11,107.868,0,0,1.78376517,1.74025974,48.0,37.0,2.0,https://www.nature.com/articles/srep29982,20.0
16,Ag,green_synthesis from fungus  Phytophthora infestans,spherical,disc_diffusion,Escherichia coli,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria,pathogenic,n,urine,2.5,5.0,80.0,11,107.868,0,0,1.78376517,1.74025974,48.0,37.0,2.0,https://www.nature.com/articles/srep29982,21.0
17,Ag,green_synthesis from fungus  Phytophthora infestans,spherical,disc_diffusion,Escherichia coli,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria,pathogenic,n,urine,2.5,5.0,80.0,11,107.868,0,0,1.78376517,1.74025974,48.0,37.0,2.0,https://www.nature.com/articles/srep29982,13.0
18,Ag,green_synthesis from fungus  Phytophthora infestans,spherical,disc_diffusion,Escherichia coli,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria,pathogenic,n,urine,2.5,5.0,80.0,11,107.868,0,0,1.78376517,1.74025974,48.0,37.0,2.0,https://www.nature.com/articles/srep29982,15.0
19,Ag,green_synthesis from fungus  Phytophthora infestans,spherical,disc_diffusion,Escherichia coli,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria,pathogenic,n,urine,2.5,5.0,80.0,11,107.868,0,0,1.78376517,1.74025974,48.0,37.0,2.0,https://www.nature.com/articles/srep29982,16.0
20,Ag,green_synthesis from fungus  Phytophthora infestans,spherical,disc_diffusion,Escherichia coli,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria,pathogenic,n,urine,2.5,5.0,80.0,11,107.868,0,0,1.78376517,1.74025974,48.0,37.0,2.0,https://www.nature.com/articles/srep29982,18.0
21,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,nanorods and triangles,disc_diffusion,Acinetobacter baumannii,18.0,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Bacteria,pathogenic,n,urine,1000.0,8.0,20.0,11,107.868,0,0,1.78376517,1.74025974,24.0,37.0,2.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,13.0
22,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,nanorods and triangles,disc_diffusion,Acinetobacter baumannii,18.0,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Bacteria,pathogenic,n,urine,500.0,8.0,20.0,11,107.868,0,0,1.78376517,1.74025974,24.0,37.0,2.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,12.0
23,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,nanorods and triangles,disc_diffusion,Acinetobacter baumannii,18.0,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Bacteria,pathogenic,n,urine,300.0,8.0,20.0,11,107.868,0,0,1.78376517,1.74025974,24.0,37.0,2.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,11.0
24,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,nanorods and triangles,disc_diffusion,Acinetobacter baumannii,18.0,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Bacteria,pathogenic,n,urine,100.0,8.0,20.0,11,107.868,0,0,1.78376517,1.74025974,24.0,37.0,2.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,10.0
25,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,nanorods and triangles,disc_diffusion,Acinetobacter baumannii,18.0,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Bacteria,pathogenic,n,urine,50.0,8.0,20.0,11,107.868,0,0,1.78376517,1.74025974,24.0,37.0,2.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,8.0
29,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,nanorods and triangles,disc_diffusion,Enterobacter cloacae,18.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria,opportunistic pathogen,n,water,1000.0,8.0,20.0,11,107.868,0,0,1.78376517,1.74025974,12.0,30.0,2.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,12.0
30,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,nanorods and triangles,disc_diffusion,Enterobacter cloacae,18.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria,opportunistic pathogen,n,water,500.0,8.0,20.0,11,107.868,0,0,1.78376517,1.74025974,12.0,30.0,2.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,10.0
31,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,nanorods and triangles,disc_diffusion,Enterobacter cloacae,18.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria,opportunistic pathogen,n,water,300.0,8.0,20.0,11,107.868,0,0,1.78376517,1.74025974,12.0,30.0,2.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,8.0
37,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,nanorods and triangles,disc_diffusion,Escherichia coli,18.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria,pathogenic,n,urine,1000.0,8.0,20.0,11,107.868,0,0,1.78376517,1.74025974,48.0,37.0,2.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,18.0
38,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,nanorods and triangles,disc_diffusion,Escherichia coli,18.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria,pathogenic,n,urine,500.0,8.0,20.0,11,107.868,0,0,1.78376517,1.74025974,48.0,37.0,2.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,15.0
39,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,nanorods and triangles,disc_diffusion,Escherichia coli,18.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria,pathogenic,n,urine,300.0,8.0,20.0,11,107.868,0,0,1.78376517,1.74025974,48.0,37.0,2.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,14.0
40,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,nanorods and triangles,disc_diffusion,Escherichia coli,18.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria,pathogenic,n,urine,100.0,8.0,20.0,11,107.868,0,0,1.78376517,1.74025974,48.0,37.0,2.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,13.0
41,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,nanorods and triangles,disc_diffusion,Escherichia coli,18.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria,pathogenic,n,urine,50.0,8.0,20.0,11,107.868,0,0,1.78376517,1.74025974,48.0,37.0,2.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,12.0
42,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,nanorods and triangles,disc_diffusion,Escherichia coli,18.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria,pathogenic,n,urine,30.0,8.0,20.0,11,107.868,0,0,1.78376517,1.74025974,48.0,37.0,2.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,10.0
43,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,nanorods and triangles,disc_diffusion,Escherichia coli,18.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria,pathogenic,n,urine,20.0,8.0,20.0,11,107.868,0,0,1.78376517,1.74025974,48.0,37.0,2.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,9.0
45,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,nanorods and triangles,disc_diffusion,Haemophilus influenzae,18.0,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Bacteria,pathogenic,n,respiratory tract,1000.0,8.0,20.0,11,107.868,0,0,1.78376517,1.74025974,24.0,37.0,2.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,12.0
46,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,nanorods and triangles,disc_diffusion,Haemophilus influenzae,18.0,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Bacteria,pathogenic,n,respiratory tract,500.0,8.0,20.0,11,107.868,0,0,1.78376517,1.74025974,24.0,37.0,2.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,11.0
47,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,nanorods and triangles,disc_diffusion,Haemophilus influenzae,18.0,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Bacteria,pathogenic,n,respiratory tract,300.0,8.0,20.0,11,107.868,0,0,1.78376517,1.74025974,24.0,37.0,2.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,9.0
48,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,nanorods and triangles,disc_diffusion,Haemophilus influenzae,18.0,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Bacteria,pathogenic,n,respiratory tract,100.0,8.0,20.0,11,107.868,0,0,1.78376517,1.74025974,24.0,37.0,2.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,8.0
53,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,nanorods and triangles,disc_diffusion,Klebsiella pneumoniae,18.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria,opportunistic pathogen,n,respiratory tract,1000.0,8.0,20.0,11,107.868,0,0,1.78376517,1.74025974,24.0,30.0,2.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,16.0
54,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,nanorods and triangles,disc_diffusion,Klebsiella pneumoniae,18.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria,opportunistic pathogen,n,respiratory tract,500.0,8.0,20.0,11,107.868,0,0,1.78376517,1.74025974,24.0,30.0,2.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,15.0
55,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,nanorods and triangles,disc_diffusion,Klebsiella pneumoniae,18.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria,opportunistic pathogen,n,respiratory tract,300.0,8.0,20.0,11,107.868,0,0,1.78376517,1.74025974,24.0,30.0,2.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,14.0
56,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,nanorods and triangles,disc_diffusion,Klebsiella pneumoniae,18.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria,opportunistic pathogen,n,respiratory tract,100.0,8.0,20.0,11,107.868,0,0,1.78376517,1.74025974,24.0,30.0,2.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,12.0
57,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,nanorods and triangles,disc_diffusion,Klebsiella pneumoniae,18.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria,opportunistic pathogen,n,respiratory tract,50.0,8.0,20.0,11,107.868,0,0,1.78376517,1.74025974,24.0,30.0,2.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,11.0
58,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,nanorods and triangles,disc_diffusion,Klebsiella pneumoniae,18.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria,opportunistic pathogen,n,respiratory tract,30.0,8.0,20.0,11,107.868,0,0,1.78376517,1.74025974,24.0,30.0,2.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,9.0
59,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,nanorods and triangles,disc_diffusion,Klebsiella pneumoniae,18.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria,opportunistic pathogen,n,respiratory tract,20.0,8.0,20.0,11,107.868,0,0,1.78376517,1.74025974,24.0,30.0,2.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,8.0
61,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,nanorods and triangles,disc_diffusion,Neisseria mucosa,18.0,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Bacteria,opportunistic pathogen,n,sputum,1000.0,8.0,20.0,11,107.868,0,0,1.78376517,1.74025974,24.0,30.0,2.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,21.0
62,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,nanorods and triangles,disc_diffusion,Neisseria mucosa,18.0,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Bacteria,opportunistic pathogen,n,sputum,500.0,8.0,20.0,11,107.868,0,0,1.78376517,1.74025974,24.0,30.0,2.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,20.0
63,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,nanorods and triangles,disc_diffusion,Neisseria mucosa,18.0,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Bacteria,opportunistic pathogen,n,sputum,300.0,8.0,20.0,11,107.868,0,0,1.78376517,1.74025974,24.0,30.0,2.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,18.0
64,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,nanorods and triangles,disc_diffusion,Neisseria mucosa,18.0,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Bacteria,opportunistic pathogen,n,sputum,100.0,8.0,20.0,11,107.868,0,0,1.78376517,1.74025974,24.0,30.0,2.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,16.0
65,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,nanorods and triangles,disc_diffusion,Neisseria mucosa,18.0,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Bacteria,opportunistic pathogen,n,sputum,50.0,8.0,20.0,11,107.868,0,0,1.78376517,1.74025974,24.0,30.0,2.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,15.0
66,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,nanorods and triangles,disc_diffusion,Neisseria mucosa,18.0,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Bacteria,opportunistic pathogen,n,sputum,30.0,8.0,20.0,11,107.868,0,0,1.78376517,1.74025974,24.0,30.0,2.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,14.0
67,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,nanorods and triangles,disc_diffusion,Neisseria mucosa,18.0,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Bacteria,opportunistic pathogen,n,sputum,20.0,8.0,20.0,11,107.868,0,0,1.78376517,1.74025974,24.0,30.0,2.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,12.0
68,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,nanorods and triangles,disc_diffusion,Neisseria mucosa,18.0,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Bacteria,opportunistic pathogen,n,sputum,10.0,8.0,20.0,11,107.868,0,0,1.78376517,1.74025974,24.0,30.0,2.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,10.0
77,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,nanorods and triangles,disc_diffusion,Pseudomonas aeruginosa,18.0,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Bacteria,opportunistic pathogen,n,soil,1000.0,8.0,20.0,11,107.868,0,0,1.78376517,1.74025974,24.0,37.0,2.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,10.0
78,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,nanorods and triangles,disc_diffusion,Pseudomonas aeruginosa,18.0,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Bacteria,opportunistic pathogen,n,soil,500.0,8.0,20.0,11,107.868,0,0,1.78376517,1.74025974,24.0,37.0,2.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,9.0
79,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,nanorods and triangles,disc_diffusion,Pseudomonas aeruginosa,18.0,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Bacteria,opportunistic pathogen,n,soil,300.0,8.0,20.0,11,107.868,0,0,1.78376517,1.74025974,24.0,37.0,2.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,8.0
85,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,nanorods and triangles,disc_diffusion,Salmonella typhi,18.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria,pathogenic,n,blood,1000.0,8.0,20.0,11,107.868,0,0,1.78376517,1.74025974,168.0,37.0,2.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,12.0
86,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,nanorods and triangles,disc_diffusion,Salmonella typhi,18.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria,pathogenic,n,blood,500.0,8.0,20.0,11,107.868,0,0,1.78376517,1.74025974,168.0,37.0,2.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,11.0
87,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,nanorods and triangles,disc_diffusion,Salmonella typhi,18.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria,pathogenic,n,blood,300.0,8.0,20.0,11,107.868,0,0,1.78376517,1.74025974,168.0,37.0,2.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,10.0
88,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,nanorods and triangles,disc_diffusion,Salmonella typhi,18.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria,pathogenic,n,blood,100.0,8.0,20.0,11,107.868,0,0,1.78376517,1.74025974,168.0,37.0,2.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,9.0
93,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,nanorods and triangles,disc_diffusion,Serratia odorifera,18.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Bacteria,opportunistic pathogen,n,soil,1000.0,8.0,20.0,11,107.868,0,0,1.78376517,1.74025974,6.0,30.0,1.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,10.0
94,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,nanorods and triangles,disc_diffusion,Serratia odorifera,18.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Bacteria,opportunistic pathogen,n,soil,500.0,8.0,20.0,11,107.868,0,0,1.78376517,1.74025974,6.0,30.0,1.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,9.0
95,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,nanorods and triangles,disc_diffusion,Serratia odorifera,18.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Bacteria,opportunistic pathogen,n,soil,300.0,8.0,20.0,11,107.868,0,0,1.78376517,1.74025974,6.0,30.0,1.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,8.0
101,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,nanorods and triangles,disc_diffusion,Vibrio parahaemolyticus,18.0,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Bacteria,pathogenic,n,water,1000.0,8.0,20.0,11,107.868,0,0,1.78376517,1.74025974,8.0,30.0,2.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,12.0
102,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,nanorods and triangles,disc_diffusion,Vibrio parahaemolyticus,18.0,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Bacteria,pathogenic,n,water,500.0,8.0,20.0,11,107.868,0,0,1.78376517,1.74025974,8.0,30.0,2.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,11.0
103,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,nanorods and triangles,disc_diffusion,Vibrio parahaemolyticus,18.0,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Bacteria,pathogenic,n,water,300.0,8.0,20.0,11,107.868,0,0,1.78376517,1.74025974,8.0,30.0,2.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,9.0
104,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,nanorods and triangles,disc_diffusion,Vibrio parahaemolyticus,18.0,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Bacteria,pathogenic,n,water,100.0,8.0,20.0,11,107.868,0,0,1.78376517,1.74025974,8.0,30.0,2.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,8.0
