,NP,NP_Synthesis,NP size_avg (nm),shape,method,Bacteria,Drug,Drug_class,reference,time (hr),Valance_electron,amw,Phylum,Class,Order,Family,Genus,Superkingdom,Species,bac_type,gram,"avg_Incub_period, h","growth_temp, C",isolated_from,MaxAbsEStateIndex,MinEStateIndex,SPS,MolWt,PEOE_VSA13,PEOE_VSA4,PEOE_VSA8,SMR_VSA2,SMR_VSA7,EState_VSA5,EState_VSA6,EState_VSA7,fr_alkyl_halide,fr_allylic_oxid,MIC_NP_log,MIC_drug_log,MIC_drug_NP_log
10,Ag,green_synthesis using Acinetobacter calcoaceticus,10.0,spherical,MBC,Staphylococcus aureus,Ciprofloxacin,Quinolines,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,20,11,107.868,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Bacteria,Staphylococcus aureus,pathogenic,p,36.0,37,skin,14.60768519,-1.27510223,18.125,331.347,0.0,0.0,43.80393424,0.0,39.93357762,12.26321064,6.066367068,9.467009379,0,0,2.814307325,-4.199705078,-4.199705077879927
11,Ag,green_synthesis using Acinetobacter calcoaceticus,10.0,spherical,MIC,Pseudomonas aeruginosa,Ciprofloxacin,Quinolines,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,20,11,107.868,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Bacteria,Pseudomonas aeruginosa,opportunistic pathogen,n,48.0,37,soil,14.60768519,-1.27510223,18.125,331.347,0.0,0.0,43.80393424,0.0,39.93357762,12.26321064,6.066367068,9.467009379,0,0,1.772428528,-3.506557897,-4.199705077879927
12,Ag,green_synthesis using Acinetobacter calcoaceticus,10.0,spherical,MIC,Salmonella typhimurium,Ceftazidime,Lactams,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,20,11,107.868,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Bacteria,Salmonella enterica subsp. enterica serovar Typhimurium,pathogenic,n,39.0,37,meat,13.11432809,-1.753218546,19.67567568,546.587,11.81435946,0.0,28.83875504,0.0,52.93692296,30.98942212,29.09352093,6.066367068,0,0,2.276696187,-3.506557897,-4.199705077879927
13,Ag,green_synthesis using Acinetobacter calcoaceticus,10.0,spherical,MIC,Escherichia coli,Ceftriaxone,Lactams,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,20,11,107.868,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Bacteria,Escherichia coli,pathogenic,n,84.0,37,urine,12.91680492,-1.306214252,19.55555556,554.592,17.6943478,4.983978521,23.93344197,0.0,32.69793869,35.98122018,0.0,0.0,0,0,2.270968211,-2.813410717,-4.199705077879927
14,Ag,green_synthesis using Acinetobacter calcoaceticus,10.0,spherical,MIC,Shigella sonnei,Gentamicin,Aminoglycoside ,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,20,11,107.868,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Bacteria,Shigella sonnei,pathogenic,n,54.0,37,water,11.12947795,-1.286897326,50.18181818,477.603,0.0,0.0,18.12552249,0.0,0.0,0.0,13.97140918,13.97140918,0,0,2.178163637,-2.813410717,-4.199705077879927
15,Ag,green_synthesis using Acinetobacter calcoaceticus,10.0,spherical,MIC,Salmonella typhimurium,Ciprofloxacin,Quinolines,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,20,11,107.868,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Bacteria,Salmonella enterica subsp. enterica serovar Typhimurium,pathogenic,n,39.0,37,meat,14.60768519,-1.27510223,18.125,331.347,0.0,0.0,43.80393424,0.0,39.93357762,12.26321064,6.066367068,9.467009379,0,0,2.276696187,-2.813410717,-4.199705077879927
16,Ag,green_synthesis using Acinetobacter calcoaceticus,10.0,spherical,MBC,Pseudomonas aeruginosa,Ciprofloxacin,Quinolines,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,20,11,107.868,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Bacteria,Pseudomonas aeruginosa,opportunistic pathogen,n,48.0,37,soil,14.60768519,-1.27510223,18.125,331.347,0.0,0.0,43.80393424,0.0,39.93357762,12.26321064,6.066367068,9.467009379,0,0,2.30640842,-2.813410717,-4.199705077879927
17,Ag,green_synthesis using Acinetobacter calcoaceticus,10.0,spherical,MBC,Shigella sonnei,Gentamicin,Aminoglycoside ,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,20,11,107.868,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Bacteria,Shigella sonnei,pathogenic,n,54.0,37,water,11.12947795,-1.286897326,50.18181818,477.603,0.0,0.0,18.12552249,0.0,0.0,0.0,13.97140918,13.97140918,0,0,2.868845895,-2.813410717,-4.199705077879927
18,Ag,green_synthesis using Acinetobacter calcoaceticus,10.0,spherical,MIC,Escherichia coli,Trimethoprim,phenol ethers,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,20,11,107.868,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Bacteria,Escherichia coli,pathogenic,n,84.0,37,urine,5.848108466,0.15383521,10.23809524,290.323,0.0,4.983978521,18.18111669,0.0,29.45648069,0.0,27.5262362,12.13273414,0,0,2.270968211,-2.079441542,-4.199705077879927
19,Ag,green_synthesis using Acinetobacter calcoaceticus,10.0,spherical,MIC,Klebsiella aerogenes,Trimethoprim,phenol ethers,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,20,11,107.868,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Bacteria,Klebsiella aerogenes,opportunistic pathogen,n,36.0,30,water,5.848108466,0.15383521,10.23809524,290.323,0.0,4.983978521,18.18111669,0.0,29.45648069,0.0,27.5262362,12.13273414,0,0,2.618575778,-2.079441542,-4.199705077879927
20,Ag,green_synthesis using Acinetobacter calcoaceticus,10.0,spherical,MIC,Pseudomonas aeruginosa,Gentamicin,Aminoglycoside ,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,20,11,107.868,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Bacteria,Pseudomonas aeruginosa,opportunistic pathogen,n,48.0,37,soil,11.12947795,-1.286897326,50.18181818,477.603,0.0,0.0,18.12552249,0.0,0.0,0.0,13.97140918,13.97140918,0,0,1.772428528,-2.079441542,-4.199705077879927
21,Ag,green_synthesis using Acinetobacter calcoaceticus,10.0,spherical,MIC,Salmonella typhimurium,Gentamicin,Aminoglycoside ,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,20,11,107.868,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Bacteria,Salmonella enterica subsp. enterica serovar Typhimurium,pathogenic,n,39.0,37,meat,11.12947795,-1.286897326,50.18181818,477.603,0.0,0.0,18.12552249,0.0,0.0,0.0,13.97140918,13.97140918,0,0,2.276696187,-2.079441542,-4.199705077879927
22,Ag,green_synthesis using Acinetobacter calcoaceticus,10.0,spherical,MIC,Salmonella typhimurium,Trimethoprim,phenol ethers,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,20,11,107.868,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Bacteria,Salmonella enterica subsp. enterica serovar Typhimurium,pathogenic,n,39.0,37,meat,5.848108466,0.15383521,10.23809524,290.323,0.0,4.983978521,18.18111669,0.0,29.45648069,0.0,27.5262362,12.13273414,0,0,2.276696187,-2.079441542,-4.199705077879927
23,Ag,green_synthesis using Acinetobacter calcoaceticus,10.0,spherical,MIC,Staphylococcus aureus,Gentamicin,Aminoglycoside ,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,20,11,107.868,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Bacteria,Staphylococcus aureus,pathogenic,p,36.0,37,skin,11.12947795,-1.286897326,50.18181818,477.603,0.0,0.0,18.12552249,0.0,0.0,0.0,13.97140918,13.97140918,0,0,2.20428759,-2.079441542,-4.199705077879927
24,Ag,green_synthesis using Acinetobacter calcoaceticus,10.0,spherical,MBC,Klebsiella aerogenes,Trimethoprim,phenol ethers,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,20,11,107.868,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Bacteria,Klebsiella aerogenes,opportunistic pathogen,n,36.0,30,water,5.848108466,0.15383521,10.23809524,290.323,0.0,4.983978521,18.18111669,0.0,29.45648069,0.0,27.5262362,12.13273414,0,0,3.263460244,-2.079441542,-4.199705077879927
25,Ag,green_synthesis using Acinetobacter calcoaceticus,10.0,spherical,MBC,Pseudomonas aeruginosa,Gentamicin,Aminoglycoside ,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,20,11,107.868,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Bacteria,Pseudomonas aeruginosa,opportunistic pathogen,n,48.0,37,soil,11.12947795,-1.286897326,50.18181818,477.603,0.0,0.0,18.12552249,0.0,0.0,0.0,13.97140918,13.97140918,0,0,2.30640842,-2.079441542,-4.199705077879927
26,Ag,green_synthesis using Acinetobacter calcoaceticus,10.0,spherical,MIC,Escherichia coli,Gentamicin,Aminoglycoside ,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,20,11,107.868,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Bacteria,Escherichia coli,pathogenic,n,84.0,37,urine,11.12947795,-1.286897326,50.18181818,477.603,0.0,0.0,18.12552249,0.0,0.0,0.0,13.97140918,13.97140918,0,0,2.270968211,-1.386294361,-4.199705077879927
27,Ag,green_synthesis using Acinetobacter calcoaceticus,10.0,spherical,MIC,Klebsiella aerogenes,Gentamicin,Aminoglycoside ,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,20,11,107.868,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Bacteria,Klebsiella aerogenes,opportunistic pathogen,n,36.0,30,water,11.12947795,-1.286897326,50.18181818,477.603,0.0,0.0,18.12552249,0.0,0.0,0.0,13.97140918,13.97140918,0,0,2.618575778,-1.386294361,-4.199705077879927
28,Ag,green_synthesis using Acinetobacter calcoaceticus,10.0,spherical,MIC,Klebsiella aerogenes,Tetracycline,Tetracyclines,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,20,11,107.868,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Bacteria,Klebsiella aerogenes,opportunistic pathogen,n,36.0,30,water,13.31369504,-2.745033659,34.375,444.44,5.907179729,0.0,17.40891662,0.0,51.99054299,44.1180921,0.0,0.0,0,0,2.618575778,-1.386294361,-4.199705077879927
29,Ag,green_synthesis using Acinetobacter calcoaceticus,10.0,spherical,MBC,Escherichia coli,Gentamicin,Aminoglycoside ,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,20,11,107.868,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Bacteria,Escherichia coli,pathogenic,n,84.0,37,urine,11.12947795,-1.286897326,50.18181818,477.603,0.0,0.0,18.12552249,0.0,0.0,0.0,13.97140918,13.97140918,0,0,2.781357142,-1.386294361,-4.199705077879927
30,Ag,green_synthesis using Acinetobacter calcoaceticus,10.0,spherical,MBC,Klebsiella aerogenes,Gentamicin,Aminoglycoside ,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,20,11,107.868,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Bacteria,Klebsiella aerogenes,opportunistic pathogen,n,36.0,30,water,11.12947795,-1.286897326,50.18181818,477.603,0.0,0.0,18.12552249,0.0,0.0,0.0,13.97140918,13.97140918,0,0,3.263460244,-1.386294361,-4.199705077879927
31,Ag,green_synthesis using Acinetobacter calcoaceticus,10.0,spherical,MIC,Escherichia coli,Doxycycline,Tetracyclines,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,20,11,107.868,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Bacteria,Escherichia coli,pathogenic,n,84.0,37,urine,13.31702838,-2.89477903,33.33333333,462.455,5.907179729,0.0,11.49101058,0.0,51.99054299,25.06162076,19.05647134,0.0,0,0,2.270968211,-0.693147181,-4.199705077879927
32,Ag,green_synthesis using Acinetobacter calcoaceticus,10.0,spherical,MIC,Escherichia coli,Tetracycline,Tetracyclines,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,20,11,107.868,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Bacteria,Escherichia coli,pathogenic,n,84.0,37,urine,13.31369504,-2.745033659,34.375,444.44,5.907179729,0.0,17.40891662,0.0,51.99054299,44.1180921,0.0,0.0,0,0,2.270968211,-0.693147181,-4.199705077879927
33,Ag,green_synthesis using Acinetobacter calcoaceticus,10.0,spherical,MIC,Acinetobacter baumannii,Doxycycline,Tetracyclines,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,20,11,107.868,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Bacteria,Acinetobacter baumannii,pathogenic,n,36.0,37,urine,13.31702838,-2.89477903,33.33333333,462.455,5.907179729,0.0,11.49101058,0.0,51.99054299,25.06162076,19.05647134,0.0,0,0,2.405620349,-0.693147181,-4.199705077879927
34,Ag,green_synthesis using Acinetobacter calcoaceticus,10.0,spherical,MIC,Klebsiella aerogenes,Doxycycline,Tetracyclines,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,20,11,107.868,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Bacteria,Klebsiella aerogenes,opportunistic pathogen,n,36.0,30,water,13.31702838,-2.89477903,33.33333333,462.455,5.907179729,0.0,11.49101058,0.0,51.99054299,25.06162076,19.05647134,0.0,0,0,2.618575778,-0.693147181,-4.199705077879927
35,Ag,green_synthesis using Acinetobacter calcoaceticus,10.0,spherical,MIC,Pseudomonas aeruginosa,Amikacin,Organooxygen compounds,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,20,11,107.868,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Bacteria,Pseudomonas aeruginosa,opportunistic pathogen,n,48.0,37,soil,12.57843074,-1.755830655,47.05,585.608,0.0,0.0,12.58659724,0.0,0.0,0.0,0.0,0.0,0,0,1.772428528,-0.693147181,-4.199705077879927
36,Ag,green_synthesis using Acinetobacter calcoaceticus,10.0,spherical,MIC,Pseudomonas aeruginosa,Ceftazidime,Lactams,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,20,11,107.868,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Bacteria,Pseudomonas aeruginosa,opportunistic pathogen,n,48.0,37,soil,13.11432809,-1.753218546,19.67567568,546.587,11.81435946,0.0,28.83875504,0.0,52.93692296,30.98942212,29.09352093,6.066367068,0,0,1.772428528,-0.693147181,-4.199705077879927
37,Ag,green_synthesis using Acinetobacter calcoaceticus,10.0,spherical,MIC,Shigella sonnei,Amikacin,Organooxygen compounds,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,20,11,107.868,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Bacteria,Shigella sonnei,pathogenic,n,54.0,37,water,12.57843074,-1.755830655,47.05,585.608,0.0,0.0,12.58659724,0.0,0.0,0.0,0.0,0.0,0,0,2.178163637,-0.693147181,-4.199705077879927
38,Ag,green_synthesis using Acinetobacter calcoaceticus,10.0,spherical,MIC,Shigella sonnei,Kanamycin,Organooxygen compounds,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,20,11,107.868,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Bacteria,Shigella sonnei,pathogenic,n,54.0,37,water,10.93437059,-1.661604858,53.72727273,484.503,0.0,0.0,18.62843806,0.0,0.0,0.0,0.0,0.0,0,0,2.178163637,-0.693147181,-4.199705077879927
39,Ag,green_synthesis using Acinetobacter calcoaceticus,10.0,spherical,MIC,Salmonella typhimurium,Kanamycin,Organooxygen compounds,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,20,11,107.868,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Bacteria,Salmonella enterica subsp. enterica serovar Typhimurium,pathogenic,n,39.0,37,meat,10.93437059,-1.661604858,53.72727273,484.503,0.0,0.0,18.62843806,0.0,0.0,0.0,0.0,0.0,0,0,2.276696187,-0.693147181,-4.199705077879927
40,Ag,green_synthesis using Acinetobacter calcoaceticus,10.0,spherical,MBC,Escherichia coli,Ceftriaxone,Lactams,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,20,11,107.868,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Bacteria,Escherichia coli,pathogenic,n,84.0,37,urine,12.91680492,-1.306214252,19.55555556,554.592,17.6943478,4.983978521,23.93344197,0.0,32.69793869,35.98122018,0.0,0.0,0,0,2.781357142,-0.693147181,-4.199705077879927
41,Ag,green_synthesis using Acinetobacter calcoaceticus,10.0,spherical,MBC,Pseudomonas aeruginosa,Amikacin,Organooxygen compounds,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,20,11,107.868,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Bacteria,Pseudomonas aeruginosa,opportunistic pathogen,n,48.0,37,soil,12.57843074,-1.755830655,47.05,585.608,0.0,0.0,12.58659724,0.0,0.0,0.0,0.0,0.0,0,0,2.30640842,-0.693147181,-4.199705077879927
42,Ag,green_synthesis using Acinetobacter calcoaceticus,10.0,spherical,MBC,Pseudomonas aeruginosa,Ceftazidime,Lactams,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,20,11,107.868,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Bacteria,Pseudomonas aeruginosa,opportunistic pathogen,n,48.0,37,soil,13.11432809,-1.753218546,19.67567568,546.587,11.81435946,0.0,28.83875504,0.0,52.93692296,30.98942212,29.09352093,6.066367068,0,0,2.30640842,-0.693147181,-4.199705077879927
43,Ag,green_synthesis using Acinetobacter calcoaceticus,10.0,spherical,MBC,Shigella sonnei,Amikacin,Organooxygen compounds,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,20,11,107.868,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Bacteria,Shigella sonnei,pathogenic,n,54.0,37,water,12.57843074,-1.755830655,47.05,585.608,0.0,0.0,12.58659724,0.0,0.0,0.0,0.0,0.0,0,0,2.868845895,-0.693147181,-4.199705077879927
44,Ag,green_synthesis using Acinetobacter calcoaceticus,10.0,spherical,MBC,Shigella sonnei,Kanamycin,Organooxygen compounds,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,20,11,107.868,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Bacteria,Shigella sonnei,pathogenic,n,54.0,37,water,10.93437059,-1.661604858,53.72727273,484.503,0.0,0.0,18.62843806,0.0,0.0,0.0,0.0,0.0,0,0,2.868845895,-0.693147181,-4.199705077879927
45,Ag,green_synthesis using Acinetobacter calcoaceticus,10.0,spherical,MBC,Salmonella typhimurium,Gentamicin,Aminoglycoside ,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,20,11,107.868,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Bacteria,Salmonella enterica subsp. enterica serovar Typhimurium,pathogenic,n,39.0,37,meat,11.12947795,-1.286897326,50.18181818,477.603,0.0,0.0,18.12552249,0.0,0.0,0.0,13.97140918,13.97140918,0,0,2.82397857,-0.693147181,-4.199705077879927
46,Ag,green_synthesis using Acinetobacter calcoaceticus,10.0,spherical,MIC,Escherichia coli,Amikacin,Organooxygen compounds,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,20,11,107.868,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Bacteria,Escherichia coli,pathogenic,n,84.0,37,urine,12.57843074,-1.755830655,47.05,585.608,0.0,0.0,12.58659724,0.0,0.0,0.0,0.0,0.0,0,0,2.270968211,0.0,-4.199705077879927
47,Ag,green_synthesis using Acinetobacter calcoaceticus,10.0,spherical,MIC,Escherichia coli,Kanamycin,Organooxygen compounds,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,20,11,107.868,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Bacteria,Escherichia coli,pathogenic,n,84.0,37,urine,10.93437059,-1.661604858,53.72727273,484.503,0.0,0.0,18.62843806,0.0,0.0,0.0,0.0,0.0,0,0,2.270968211,0.0,-4.199705077879927
