,Bacteria,Drug,reference,time (hr),MDR,Phylum,Class,Order,Family,Genus,bac_type,gram,"min_Incub_period, h","growth_temp, C",isolated_from,MaxAbsEStateIndex,MinEStateIndex,MolWt,PEOE_VSA11,PEOE_VSA13,PEOE_VSA8,SMR_VSA2,SMR_VSA9,MIC_drug_log
11,Streptococcus uberis,Amoxicillin,https://pubmed.ncbi.nlm.nih.gov/26832810/,24,0,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,pathogenic,p,24,37,mammary gland,12.3475389,-1.056554474,365.411,0,0,4.747022453,0,5.749511833,-1.386294361
12,Salmonella enterica,Amoxicillin,https://pubmed.ncbi.nlm.nih.gov/26832810/,24,0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,pathogenic,n,12,37,food,12.3475389,-1.056554474,365.411,0,0,4.747022453,0,5.749511833,0
13,Staphylococcus aureus,Amoxicillin,https://pubmed.ncbi.nlm.nih.gov/26832810/,24,0,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,pathogenic,p,24,37,skin,12.3475389,-1.056554474,365.411,0,0,4.747022453,0,5.749511833,0.693147181
14,Escherichia coli,Amoxicillin,https://pubmed.ncbi.nlm.nih.gov/26832810/,24,1,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,pathogenic,n,48,37,urine,12.3475389,-1.056554474,365.411,0,0,4.747022453,0,5.749511833,3.465735903
15,Actinobacillus pleuropneumoniae,Amoxicillin,https://pubmed.ncbi.nlm.nih.gov/26832810/,24,1,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,opportunistic pathogen,n,24,37,lungs,12.3475389,-1.056554474,365.411,0,0,4.747022453,0,5.749511833,3.465735903
16,Pasteurella Multocida,Amoxicillin,https://pubmed.ncbi.nlm.nih.gov/26832810/,24,0,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Pasteurella,opportunistic pathogen,n,12,37,lungs,12.3475389,-1.056554474,365.411,0,0,4.747022453,0,5.749511833,-1.386294361
17,Streptococcus uberis,Amoxicillin,https://pubmed.ncbi.nlm.nih.gov/26832810/,24,0,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,pathogenic,p,24,37,mammary gland,12.3475389,-1.056554474,365.411,0,0,4.747022453,0,5.749511833,-1.386294361
18,Salmonella enterica,Gentamicin,https://pubmed.ncbi.nlm.nih.gov/26832810/,24,0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,pathogenic,n,12,37,food,11.12947795,-1.286897326,477.603,12.58005346,0,18.12552249,0,0,0
19,Staphylococcus aureus,Gentamicin,https://pubmed.ncbi.nlm.nih.gov/26832810/,24,0,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,pathogenic,p,24,37,skin,11.12947795,-1.286897326,477.603,12.58005346,0,18.12552249,0,0,1.386294361
20,Escherichia coli,Gentamicin,https://pubmed.ncbi.nlm.nih.gov/26832810/,24,1,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,pathogenic,n,48,37,urine,11.12947795,-1.286897326,477.603,12.58005346,0,18.12552249,0,0,3.465735903
21,Actinobacillus pleuropneumoniae,Gentamicin,https://pubmed.ncbi.nlm.nih.gov/26832810/,24,0,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,opportunistic pathogen,n,24,37,lungs,11.12947795,-1.286897326,477.603,12.58005346,0,18.12552249,0,0,2.079441542
22,Pasteurella Multocida,Gentamicin,https://pubmed.ncbi.nlm.nih.gov/26832810/,24,0,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Pasteurella,opportunistic pathogen,n,12,37,lungs,11.12947795,-1.286897326,477.603,12.58005346,0,18.12552249,0,0,2.079441542
23,Salmonella enterica,Gentamicin,https://pubmed.ncbi.nlm.nih.gov/26832810/,24,0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,pathogenic,n,12,37,food,11.12947795,-1.286897326,477.603,12.58005346,0,18.12552249,0,0,0
24,Staphylococcus aureus,Gentamicin,https://pubmed.ncbi.nlm.nih.gov/26832810/,24,0,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,pathogenic,p,24,37,skin,11.12947795,-1.286897326,477.603,12.58005346,0,18.12552249,0,0,1.386294361
25,Escherichia coli,Gentamicin,https://pubmed.ncbi.nlm.nih.gov/26832810/,24,0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,pathogenic,n,48,37,urine,11.12947795,-1.286897326,477.603,12.58005346,0,18.12552249,0,0,3.465735903
26,Actinobacillus pleuropneumoniae,Gentamicin,https://pubmed.ncbi.nlm.nih.gov/26832810/,24,1,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,opportunistic pathogen,n,24,37,lungs,11.12947795,-1.286897326,477.603,12.58005346,0,18.12552249,0,0,2.079441542
27,Pasteurella Multocida,Gentamicin,https://pubmed.ncbi.nlm.nih.gov/26832810/,24,0,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Pasteurella,opportunistic pathogen,n,12,37,lungs,11.12947795,-1.286897326,477.603,12.58005346,0,18.12552249,0,0,2.079441542
28,Salmonella enterica,Colistin,https://pubmed.ncbi.nlm.nih.gov/26832810/,24,0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,pathogenic,n,12,37,food,14.42691455,-1.637790428,2296.971,0,0,39.02066887,0,0,1.386294361
29,Escherichia coli,Colistin,https://pubmed.ncbi.nlm.nih.gov/26832810/,24,0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,pathogenic,n,48,37,urine,14.42691455,-1.637790428,2296.971,0,0,39.02066887,0,0,2.079441542
30,Actinobacillus pleuropneumoniae,Colistin,https://pubmed.ncbi.nlm.nih.gov/26832810/,24,0,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,opportunistic pathogen,n,24,37,lungs,14.42691455,-1.637790428,2296.971,0,0,39.02066887,0,0,2.079441542
31,Pasteurella Multocida,Colistin,https://pubmed.ncbi.nlm.nih.gov/26832810/,24,0,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Pasteurella,opportunistic pathogen,n,12,37,lungs,14.42691455,-1.637790428,2296.971,0,0,39.02066887,0,0,2.079441542
32,Salmonella enterica,Colistin,https://pubmed.ncbi.nlm.nih.gov/26832810/,24,0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,pathogenic,n,12,37,food,14.42691455,-1.637790428,2296.971,0,0,39.02066887,0,0,1.386294361
33,Escherichia coli,Colistin,https://pubmed.ncbi.nlm.nih.gov/26832810/,24,0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,pathogenic,n,48,37,urine,14.42691455,-1.637790428,2296.971,0,0,39.02066887,0,0,2.079441542
34,Actinobacillus pleuropneumoniae,Colistin,https://pubmed.ncbi.nlm.nih.gov/26832810/,24,0,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,opportunistic pathogen,n,24,37,lungs,14.42691455,-1.637790428,2296.971,0,0,39.02066887,0,0,2.079441542
35,Pasteurella Multocida,Colistin,https://pubmed.ncbi.nlm.nih.gov/26832810/,24,0,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Pasteurella,opportunistic pathogen,n,12,37,lungs,14.42691455,-1.637790428,2296.971,0,0,39.02066887,0,0,2.079441542
36,Enterococcus faecium,Ampicillin,https://www.microbiologyresearch.org/content/journal/jmm/10.1099/jmm.0.047100-0,24,0,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,opportunistic pathogen,p,24,37,blood,12.33417297,-1.033228263,349.412,0,0,4.747022453,0,0,0.693147181
37,Staphylococcus aureus,Ampicillin,https://www.microbiologyresearch.org/content/journal/jmm/10.1099/jmm.0.047100-0,24,0,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,pathogenic,p,24,37,skin,12.33417297,-1.033228263,349.412,0,0,4.747022453,0,0,1.386294361
38,Streptococcus mutans,Ampicillin,https://www.microbiologyresearch.org/content/journal/jmm/10.1099/jmm.0.047100-0,24,0,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,pathogenic,p,24,37,carious dentine,12.33417297,-1.033228263,349.412,0,0,4.747022453,0,0,0.693147181
39,Escherichia coli O157,Ampicillin,https://www.microbiologyresearch.org/content/journal/jmm/10.1099/jmm.0.047100-0,24,0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,pathogenic,n,48,37,urine,12.33417297,-1.033228263,349.412,0,0,4.747022453,0,0,1.386294361
40,Escherichia coli,Ampicillin,https://www.microbiologyresearch.org/content/journal/jmm/10.1099/jmm.0.047100-0,24,0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,pathogenic,n,48,37,urine,12.33417297,-1.033228263,349.412,0,0,4.747022453,0,0,2.079441542
41,Pseudomonas aeruginosa,Ampicillin,https://www.microbiologyresearch.org/content/journal/jmm/10.1099/jmm.0.047100-0,24,0,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,opportunistic pathogen,n,24,37,soil,12.33417297,-1.033228263,349.412,0,0,4.747022453,0,0,0.693147181
42,Enterococcus faecium,Kanamycin,https://www.microbiologyresearch.org/content/journal/jmm/10.1099/jmm.0.047100-0,24,0,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,opportunistic pathogen,p,24,37,blood,10.93437059,-1.661604858,484.503,12.58005346,0,18.62843806,0,0,0.693147181
43,Staphylococcus aureus,Kanamycin,https://www.microbiologyresearch.org/content/journal/jmm/10.1099/jmm.0.047100-0,24,0,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,pathogenic,p,24,37,skin,10.93437059,-1.661604858,484.503,12.58005346,0,18.62843806,0,0,1.386294361
44,Streptococcus mutans,Kanamycin,https://www.microbiologyresearch.org/content/journal/jmm/10.1099/jmm.0.047100-0,24,0,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,pathogenic,p,24,37,carious dentine,10.93437059,-1.661604858,484.503,12.58005346,0,18.62843806,0,0,1.386294361
45,Escherichia coli,Kanamycin,https://www.microbiologyresearch.org/content/journal/jmm/10.1099/jmm.0.047100-0,24,0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,pathogenic,n,48,37,urine,10.93437059,-1.661604858,484.503,12.58005346,0,18.62843806,0,0,1.386294361
46,Escherichia coli O157,Kanamycin,https://www.microbiologyresearch.org/content/journal/jmm/10.1099/jmm.0.047100-0,24,0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,pathogenic,n,48,37,urine,10.93437059,-1.661604858,484.503,12.58005346,0,18.62843806,0,0,1.386294361
47,Pseudomonas aeruginosa,Kanamycin,https://www.microbiologyresearch.org/content/journal/jmm/10.1099/jmm.0.047100-0,24,0,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,opportunistic pathogen,n,24,37,soil,10.93437059,-1.661604858,484.503,12.58005346,0,18.62843806,0,0,0.693147181
48,Escherichia coli,Imipenem,https://www.nature.com/articles/s41598-022-19698-0,24,0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,pathogenic,n,48,37,urine,11.93841503,-1.104253643,299.352,0,0,23.62356815,5.409283606,0,2.079441542
49,Escherichia coli,Ceftriaxone,https://www.nature.com/articles/s41598-022-19698-0,24,0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,pathogenic,n,48,37,urine,12.91680492,-1.306214252,554.592,15.99967996,17.6943478,23.93344197,0,5.879988336,6.931471806
50,Escherichia coli,Ceftazidime,https://www.nature.com/articles/s41598-022-19698-0,24,0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,pathogenic,n,48,37,urine,13.11432809,-1.753218546,546.587,29.78168703,11.81435946,28.83875504,0,0,6.931471806
51,Escherichia coli,Imipenem,https://www.nature.com/articles/s41598-022-19698-0,24,0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,pathogenic,n,48,37,urine,11.93841503,-1.104253643,299.352,0,0,23.62356815,5.409283606,0,2.772588722
52,Klebsiella sp.,Imipenem,https://www.nature.com/articles/s41598-022-19698-0,24,0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,opportunistic pathogen,n,24,37,respiratory tract,11.93841503,-1.104253643,299.352,0,0,23.62356815,5.409283606,0,2.772588722
53,Klebsiella sp.,Ceftriaxone,https://www.nature.com/articles/s41598-022-19698-0,24,0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,opportunistic pathogen,n,24,37,respiratory tract,12.91680492,-1.306214252,554.592,15.99967996,17.6943478,23.93344197,0,5.879988336,6.931471806
54,Klebsiella sp.,Ceftazidime,https://www.nature.com/articles/s41598-022-19698-0,24,0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,opportunistic pathogen,n,24,37,respiratory tract,13.11432809,-1.753218546,546.587,29.78168703,11.81435946,28.83875504,0,0,4.158883083
55,Klebsiella sp.,Imipenem,https://www.nature.com/articles/s41598-022-19698-0,24,0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,opportunistic pathogen,n,24,37,respiratory tract,11.93841503,-1.104253643,299.352,0,0,23.62356815,5.409283606,0,3.465735903
56,Klebsiella sp.,Ceftazidime,https://www.nature.com/articles/s41598-022-19698-0,24,0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,opportunistic pathogen,n,24,37,respiratory tract,13.11432809,-1.753218546,546.587,29.78168703,11.81435946,28.83875504,0,0,4.852030264
57,Pseudomonas aeruginosa,Imipenem,https://www.nature.com/articles/s41598-022-19698-0,24,0,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,opportunistic pathogen,n,24,37,soil,11.93841503,-1.104253643,299.352,0,0,23.62356815,5.409283606,0,2.079441542
58,Pseudomonas aeruginosa,Ceftriaxone,https://www.nature.com/articles/s41598-022-19698-0,24,0,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,opportunistic pathogen,n,24,37,soil,12.91680492,-1.306214252,554.592,15.99967996,17.6943478,23.93344197,0,5.879988336,6.931471806
59,Pseudomonas aeruginosa,Ceftazidime,https://www.nature.com/articles/s41598-022-19698-0,24,0,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,opportunistic pathogen,n,24,37,soil,13.11432809,-1.753218546,546.587,29.78168703,11.81435946,28.83875504,0,0,4.158883083
60,Pseudomonas aeruginosa,Imipenem,https://www.nature.com/articles/s41598-022-19698-0,24,0,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,opportunistic pathogen,n,24,37,soil,11.93841503,-1.104253643,299.352,0,0,23.62356815,5.409283606,0,2.772588722
61,Pseudomonas aeruginosa,Ceftazidime,https://www.nature.com/articles/s41598-022-19698-0,24,0,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,opportunistic pathogen,n,24,37,soil,13.11432809,-1.753218546,546.587,29.78168703,11.81435946,28.83875504,0,0,4.852030264
62,Acinetobacter baumannii,Imipenem,https://www.nature.com/articles/s41598-022-19698-0,24,0,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,pathogenic,n,24,37,urine,11.93841503,-1.104253643,299.352,0,0,23.62356815,5.409283606,0,2.079441542
63,Acinetobacter baumannii,Ceftriaxone,https://www.nature.com/articles/s41598-022-19698-0,24,0,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,pathogenic,n,24,37,urine,12.91680492,-1.306214252,554.592,15.99967996,17.6943478,23.93344197,0,5.879988336,6.931471806
64,Acinetobacter baumannii,Ceftazidime,https://www.nature.com/articles/s41598-022-19698-0,24,0,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,pathogenic,n,24,37,urine,13.11432809,-1.753218546,546.587,29.78168703,11.81435946,28.83875504,0,0,4.158883083
65,Acinetobacter baumannii,Imipenem,https://www.nature.com/articles/s41598-022-19698-0,24,0,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,pathogenic,n,24,37,urine,11.93841503,-1.104253643,299.352,0,0,23.62356815,5.409283606,0,2.772588722
66,Acinetobacter baumannii,Ceftazidime,https://www.nature.com/articles/s41598-022-19698-0,24,0,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,pathogenic,n,24,37,urine,13.11432809,-1.753218546,546.587,29.78168703,11.81435946,28.83875504,0,0,4.852030264
67,Proteus sp.,Imipenem,https://www.nature.com/articles/s41598-022-19698-0,24,0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Morganellaceae,Proteus,opportunistic pathogen,n,24,37,soil,11.93841503,-1.104253643,299.352,0,0,23.62356815,5.409283606,0,2.772588722
68,Proteus sp.,Ceftriaxone,https://www.nature.com/articles/s41598-022-19698-0,24,0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Morganellaceae,Proteus,opportunistic pathogen,n,24,37,soil,12.91680492,-1.306214252,554.592,15.99967996,17.6943478,23.93344197,0,5.879988336,6.931471806
69,Proteus sp.,Ceftazidime,https://www.nature.com/articles/s41598-022-19698-0,24,0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Morganellaceae,Proteus,opportunistic pathogen,n,24,37,soil,13.11432809,-1.753218546,546.587,29.78168703,11.81435946,28.83875504,0,0,3.465735903
70,Proteus sp.,Imipenem,https://www.nature.com/articles/s41598-022-19698-0,24,0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Morganellaceae,Proteus,opportunistic pathogen,n,24,37,soil,11.93841503,-1.104253643,299.352,0,0,23.62356815,5.409283606,0,3.465735903
71,Proteus sp.,Ceftazidime,https://www.nature.com/articles/s41598-022-19698-0,24,0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Morganellaceae,Proteus,opportunistic pathogen,n,24,37,soil,13.11432809,-1.753218546,546.587,29.78168703,11.81435946,28.83875504,0,0,4.158883083
72,Staphylococcus epidermidis,Gentamicin,https://www.tandfonline.com/doi/full/10.2147/IJN.S246484,24,1,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,opportunistic pathogen,p,24,37,nose,11.12947795,-1.286897326,477.603,12.58005346,0,18.12552249,0,0,6.214608098
73,Staphylococcus epidermidis,Gentamicin,https://www.tandfonline.com/doi/full/10.2147/IJN.S246484,24,1,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,opportunistic pathogen,p,24,37,nose,11.12947795,-1.286897326,477.603,12.58005346,0,18.12552249,0,0,6.214608098
74,Staphylococcus epidermidis,Gentamicin,https://www.tandfonline.com/doi/full/10.2147/IJN.S246484,24,1,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,opportunistic pathogen,p,24,37,nose,11.12947795,-1.286897326,477.603,12.58005346,0,18.12552249,0,0,6.214608098
75,Staphylococcus epidermidis,Gentamicin,https://www.tandfonline.com/doi/full/10.2147/IJN.S246484,24,1,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,opportunistic pathogen,p,24,37,nose,11.12947795,-1.286897326,477.603,12.58005346,0,18.12552249,0,0,6.214608098
76,Staphylococcus epidermidis,Gentamicin,https://www.tandfonline.com/doi/full/10.2147/IJN.S246484,24,1,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,opportunistic pathogen,p,24,37,nose,11.12947795,-1.286897326,477.603,12.58005346,0,18.12552249,0,0,4.828313737
77,Staphylococcus epidermidis,Gentamicin,https://www.tandfonline.com/doi/full/10.2147/IJN.S246484,24,1,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,opportunistic pathogen,p,24,37,nose,11.12947795,-1.286897326,477.603,12.58005346,0,18.12552249,0,0,5.521460918
78,Staphylococcus epidermidis,Gentamicin,https://www.tandfonline.com/doi/full/10.2147/IJN.S246484,24,1,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,opportunistic pathogen,p,24,37,nose,11.12947795,-1.286897326,477.603,12.58005346,0,18.12552249,0,0,6.214608098
79,Staphylococcus epidermidis,Gentamicin,https://www.tandfonline.com/doi/full/10.2147/IJN.S246484,24,1,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,opportunistic pathogen,p,24,37,nose,11.12947795,-1.286897326,477.603,12.58005346,0,18.12552249,0,0,6.214608098
80,Staphylococcus epidermidis,Gentamicin,https://www.tandfonline.com/doi/full/10.2147/IJN.S246484,24,1,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,opportunistic pathogen,p,24,37,nose,11.12947795,-1.286897326,477.603,12.58005346,0,18.12552249,0,0,6.214608098
81,Escherichia coli,Kanamycin,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0224904,24,0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,pathogenic,n,48,37,urine,10.93437059,-1.661604858,484.503,12.58005346,0,18.62843806,0,0,-2.302585093
82,Salmonella typhimurium,Kanamycin,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0224904,24,0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,pathogenic,n,6,37,meat,10.93437059,-1.661604858,484.503,12.58005346,0,18.62843806,0,0,-1.386294361
83,Staphylococcus aureus,Kanamycin,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0224904,24,0,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,pathogenic,p,24,37,skin,10.93437059,-1.661604858,484.503,12.58005346,0,18.62843806,0,0,3.465735903
84,Bacillus subtilis,Kanamycin,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0224904,24,0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,non-pathogenic,p,0.16,30,soil,10.93437059,-1.661604858,484.503,12.58005346,0,18.62843806,0,0,-1.386294361
85,Escherichia coli,Ampicillin,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0224904,24,0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,pathogenic,n,48,37,urine,12.33417297,-1.033228263,349.412,0,0,4.747022453,0,0,0.693147181
86,Salmonella typhimurium,Ampicillin,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0224904,24,0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,pathogenic,n,6,37,meat,12.33417297,-1.033228263,349.412,0,0,4.747022453,0,0,-0.693147181
87,Staphylococcus aureus,Ampicillin,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0224904,24,0,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,pathogenic,p,24,37,skin,12.33417297,-1.033228263,349.412,0,0,4.747022453,0,0,-0.693147181
88,Bacillus subtilis,Ampicillin,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0224904,24,0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,non-pathogenic,p,0.16,30,soil,12.33417297,-1.033228263,349.412,0,0,4.747022453,0,0,-2.302585093
