,NP,NP_Synthesis,NP size_avg (nm),shape,method,Bacteria,Drug,reference,time (hr),MDR,amw,Phylum,Class,Order,Family,Genus,Superkingdom,Species,bac_type,gram,"min_Incub_period, h","growth_temp, C",isolated_from,MaxAbsEStateIndex,MinEStateIndex,SPS,MolWt,PEOE_VSA11,PEOE_VSA13,PEOE_VSA4,PEOE_VSA8,SMR_VSA2,SMR_VSA7,SlogP_VSA8,EState_VSA6,EState_VSA7,fr_alkyl_halide,fr_allylic_oxid,MIC_NP_log,Drug_class,MIC_drug_log,MIC_drug_NP_log
14,Ag,chem_synthesis_reduction_by_D_maltose,8.0,spherical,MIC,Escherichia coli,penicillin G,https://pubmed.ncbi.nlm.nih.gov/26832810/,24,1,107.868,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Bacteria,Escherichia coli,pathogenic,n,48.0,37,urine,12.26831885,-1.007025846,28.0,334.397,0.0,0.0,0.0,4.747022453,0.0,35.89528683,0.0,0.0,44.17930974,0,0,1.840549633,Carboxylic acids and derivatives,3.4657359027997265,3.4657359027997265
15,Ag,chem_synthesis_reduction_by_D_maltose,8.0,spherical,MIC,Actinobacillus pleuropneumoniae,penicillin G,https://pubmed.ncbi.nlm.nih.gov/26832810/,24,1,107.868,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,Bacteria,Actinobacillus pleuropneumoniae,opportunistic pathogen,n,24.0,37,lungs,12.26831885,-1.007025846,28.0,334.397,0.0,0.0,0.0,4.747022453,0.0,35.89528683,0.0,0.0,44.17930974,0,0,3.218875825,Carboxylic acids and derivatives,3.4657359027997265,0.6931471805599453
16,Ag,chem_synthesis_reduction_by_D_maltose,8.0,spherical,MIC,Pasteurella Multocida,penicillin G,https://pubmed.ncbi.nlm.nih.gov/26832810/,24,0,107.868,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Pasteurella,Bacteria,Pasteurella multocida,opportunistic pathogen,n,12.0,37,lungs,12.26831885,-1.007025846,28.0,334.397,0.0,0.0,0.0,4.747022453,0.0,35.89528683,0.0,0.0,44.17930974,0,0,4.605170186,Carboxylic acids and derivatives,-3.506557897319982,-3.506557897319982
17,Ag,chem_synthesis_reduction_by_D_maltose,28.0,spherical,MIC,Salmonella enterica,penicillin G,https://pubmed.ncbi.nlm.nih.gov/26832810/,24,0,107.868,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Bacteria,Salmonella enterica,pathogenic,n,12.0,37,food,12.26831885,-1.007025846,28.0,334.397,0.0,0.0,0.0,4.747022453,0.0,35.89528683,0.0,0.0,44.17930974,0,0,3.218875825,Carboxylic acids and derivatives,0.6931471805599453,0.0
18,Ag,chem_synthesis_reduction_by_D_maltose,28.0,spherical,MIC,Staphylococcus aureus,penicillin G,https://pubmed.ncbi.nlm.nih.gov/26832810/,24,0,107.868,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Bacteria,Staphylococcus aureus,pathogenic,p,24.0,37,skin,12.26831885,-1.007025846,28.0,334.397,0.0,0.0,0.0,4.747022453,0.0,35.89528683,0.0,0.0,44.17930974,0,0,3.912023005,Carboxylic acids and derivatives,0.0,-0.6931471805599453
19,Ag,chem_synthesis_reduction_by_D_maltose,28.0,spherical,MIC,Escherichia coli,penicillin G,https://pubmed.ncbi.nlm.nih.gov/26832810/,24,1,107.868,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Bacteria,Escherichia coli,pathogenic,n,48.0,37,urine,12.26831885,-1.007025846,28.0,334.397,0.0,0.0,0.0,4.747022453,0.0,35.89528683,0.0,0.0,44.17930974,0,0,3.218875825,Carboxylic acids and derivatives,3.4657359027997265,3.4657359027997265
20,Ag,chem_synthesis_reduction_by_D_maltose,28.0,spherical,MIC,Actinobacillus pleuropneumoniae,penicillin G,https://pubmed.ncbi.nlm.nih.gov/26832810/,24,1,107.868,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,Bacteria,Actinobacillus pleuropneumoniae,opportunistic pathogen,n,24.0,37,lungs,12.26831885,-1.007025846,28.0,334.397,0.0,0.0,0.0,4.747022453,0.0,35.89528683,0.0,0.0,44.17930974,0,0,3.912023005,Carboxylic acids and derivatives,3.4657359027997265,2.0794415416798357
21,Ag,chem_synthesis_reduction_by_D_maltose,28.0,spherical,MIC,Pasteurella Multocida,penicillin G,https://pubmed.ncbi.nlm.nih.gov/26832810/,24,0,107.868,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Pasteurella,Bacteria,Pasteurella multocida,opportunistic pathogen,n,12.0,37,lungs,12.26831885,-1.007025846,28.0,334.397,0.0,0.0,0.0,4.747022453,0.0,35.89528683,0.0,0.0,44.17930974,0,0,3.912023005,Carboxylic acids and derivatives,-3.506557897319982,-3.506557897319982
22,Ag,chem_synthesis_reduction_by_D_maltose,8.0,spherical,MIC,Salmonella enterica,Gentamicin,https://pubmed.ncbi.nlm.nih.gov/26832810/,24,0,107.868,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Bacteria,Salmonella enterica,pathogenic,n,12.0,37,food,11.12947795,-1.286897326,50.18181818,477.603,12.58005346,0.0,0.0,18.12552249,0.0,0.0,0.0,13.97140918,13.97140918,0,0,2.525728644,Aminoglycoside ,0.0,-1.3862943611198906
23,Ag,chem_synthesis_reduction_by_D_maltose,8.0,spherical,MIC,Staphylococcus aureus,Gentamicin,https://pubmed.ncbi.nlm.nih.gov/26832810/,24,0,107.868,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Bacteria,Staphylococcus aureus,pathogenic,p,24.0,37,skin,11.12947795,-1.286897326,50.18181818,477.603,12.58005346,0.0,0.0,18.12552249,0.0,0.0,0.0,13.97140918,13.97140918,0,0,3.218875825,Aminoglycoside ,1.3862943611198906,-0.6931471805599453
24,Ag,chem_synthesis_reduction_by_D_maltose,8.0,spherical,MIC,Escherichia coli,Gentamicin,https://pubmed.ncbi.nlm.nih.gov/26832810/,24,1,107.868,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Bacteria,Escherichia coli,pathogenic,n,48.0,37,urine,11.12947795,-1.286897326,50.18181818,477.603,12.58005346,0.0,0.0,18.12552249,0.0,0.0,0.0,13.97140918,13.97140918,0,0,1.840549633,Aminoglycoside ,3.4657359027997265,2.772588722239781
25,Ag,chem_synthesis_reduction_by_D_maltose,8.0,spherical,MIC,Actinobacillus pleuropneumoniae,Gentamicin,https://pubmed.ncbi.nlm.nih.gov/26832810/,24,0,107.868,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,Bacteria,Actinobacillus pleuropneumoniae,opportunistic pathogen,n,24.0,37,lungs,11.12947795,-1.286897326,50.18181818,477.603,12.58005346,0.0,0.0,18.12552249,0.0,0.0,0.0,13.97140918,13.97140918,0,0,3.218875825,Aminoglycoside ,2.0794415416798357,2.0794415416798357
26,Ag,chem_synthesis_reduction_by_D_maltose,8.0,spherical,MIC,Pasteurella Multocida,Gentamicin,https://pubmed.ncbi.nlm.nih.gov/26832810/,24,0,107.868,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Pasteurella,Bacteria,Pasteurella multocida,opportunistic pathogen,n,12.0,37,lungs,11.12947795,-1.286897326,50.18181818,477.603,12.58005346,0.0,0.0,18.12552249,0.0,0.0,0.0,13.97140918,13.97140918,0,0,4.605170186,Aminoglycoside ,2.0794415416798357,0.6931471805599453
27,Ag,chem_synthesis_reduction_by_D_maltose,28.0,spherical,MIC,Salmonella enterica,Gentamicin,https://pubmed.ncbi.nlm.nih.gov/26832810/,24,0,107.868,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Bacteria,Salmonella enterica,pathogenic,n,12.0,37,food,11.12947795,-1.286897326,50.18181818,477.603,12.58005346,0.0,0.0,18.12552249,0.0,0.0,0.0,13.97140918,13.97140918,0,0,3.218875825,Aminoglycoside ,0.0,-1.3862943611198906
28,Ag,chem_synthesis_reduction_by_D_maltose,28.0,spherical,MIC,Staphylococcus aureus,Gentamicin,https://pubmed.ncbi.nlm.nih.gov/26832810/,24,0,107.868,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Bacteria,Staphylococcus aureus,pathogenic,p,24.0,37,skin,11.12947795,-1.286897326,50.18181818,477.603,12.58005346,0.0,0.0,18.12552249,0.0,0.0,0.0,13.97140918,13.97140918,0,0,3.912023005,Aminoglycoside ,1.3862943611198906,-1.3862943611198906
29,Ag,chem_synthesis_reduction_by_D_maltose,28.0,spherical,MIC,Escherichia coli,Gentamicin,https://pubmed.ncbi.nlm.nih.gov/26832810/,24,0,107.868,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Bacteria,Escherichia coli,pathogenic,n,48.0,37,urine,11.12947795,-1.286897326,50.18181818,477.603,12.58005346,0.0,0.0,18.12552249,0.0,0.0,0.0,13.97140918,13.97140918,0,0,3.218875825,Aminoglycoside ,3.4657359027997265,2.0794415416798357
30,Ag,chem_synthesis_reduction_by_D_maltose,28.0,spherical,MIC,Actinobacillus pleuropneumoniae,Gentamicin,https://pubmed.ncbi.nlm.nih.gov/26832810/,24,1,107.868,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,Bacteria,Actinobacillus pleuropneumoniae,opportunistic pathogen,n,24.0,37,lungs,11.12947795,-1.286897326,50.18181818,477.603,12.58005346,0.0,0.0,18.12552249,0.0,0.0,0.0,13.97140918,13.97140918,0,0,3.912023005,Aminoglycoside ,2.0794415416798357,-1.3862943611198906
31,Ag,chem_synthesis_reduction_by_D_maltose,28.0,spherical,MIC,Pasteurella Multocida,Gentamicin,https://pubmed.ncbi.nlm.nih.gov/26832810/,24,0,107.868,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Pasteurella,Bacteria,Pasteurella multocida,opportunistic pathogen,n,12.0,37,lungs,11.12947795,-1.286897326,50.18181818,477.603,12.58005346,0.0,0.0,18.12552249,0.0,0.0,0.0,13.97140918,13.97140918,0,0,3.912023005,Aminoglycoside ,2.0794415416798357,0.6931471805599453
32,Ag,chem_synthesis_reduction_by_D_maltose,8.0,spherical,MIC,Salmonella enterica,Colistin,https://pubmed.ncbi.nlm.nih.gov/26832810/,24,0,107.868,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Bacteria,Salmonella enterica,pathogenic,n,12.0,37,food,14.42691455,-1.637790428,23.57142857,2296.971,0.0,0.0,0.0,39.02066887,0.0,0.0,0.0,55.3898976,0.0,0,0,2.525728644,Carboxylic acids and derivatives,1.3862943611198906,0.6931471805599453
33,Ag,chem_synthesis_reduction_by_D_maltose,8.0,spherical,MIC,Escherichia coli,Colistin,https://pubmed.ncbi.nlm.nih.gov/26832810/,24,0,107.868,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Bacteria,Escherichia coli,pathogenic,n,48.0,37,urine,14.42691455,-1.637790428,23.57142857,2296.971,0.0,0.0,0.0,39.02066887,0.0,0.0,0.0,55.3898976,0.0,0,0,1.840549633,Carboxylic acids and derivatives,2.0794415416798357,0.6931471805599453
34,Ag,chem_synthesis_reduction_by_D_maltose,8.0,spherical,MIC,Actinobacillus pleuropneumoniae,Colistin,https://pubmed.ncbi.nlm.nih.gov/26832810/,24,0,107.868,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,Bacteria,Actinobacillus pleuropneumoniae,opportunistic pathogen,n,24.0,37,lungs,14.42691455,-1.637790428,23.57142857,2296.971,0.0,0.0,0.0,39.02066887,0.0,0.0,0.0,55.3898976,0.0,0,0,3.218875825,Carboxylic acids and derivatives,2.0794415416798357,2.0794415416798357
35,Ag,chem_synthesis_reduction_by_D_maltose,8.0,spherical,MIC,Pasteurella Multocida,Colistin,https://pubmed.ncbi.nlm.nih.gov/26832810/,24,0,107.868,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Pasteurella,Bacteria,Pasteurella multocida,opportunistic pathogen,n,12.0,37,lungs,14.42691455,-1.637790428,23.57142857,2296.971,0.0,0.0,0.0,39.02066887,0.0,0.0,0.0,55.3898976,0.0,0,0,4.605170186,Carboxylic acids and derivatives,2.0794415416798357,0.0
36,Ag,chem_synthesis_reduction_by_D_maltose,28.0,spherical,MIC,Salmonella enterica,Colistin,https://pubmed.ncbi.nlm.nih.gov/26832810/,24,0,107.868,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Bacteria,Salmonella enterica,pathogenic,n,12.0,37,food,14.42691455,-1.637790428,23.57142857,2296.971,0.0,0.0,0.0,39.02066887,0.0,0.0,0.0,55.3898976,0.0,0,0,3.218875825,Carboxylic acids and derivatives,1.3862943611198906,0.6931471805599453
37,Ag,chem_synthesis_reduction_by_D_maltose,28.0,spherical,MIC,Escherichia coli,Colistin,https://pubmed.ncbi.nlm.nih.gov/26832810/,24,0,107.868,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Bacteria,Escherichia coli,pathogenic,n,48.0,37,urine,14.42691455,-1.637790428,23.57142857,2296.971,0.0,0.0,0.0,39.02066887,0.0,0.0,0.0,55.3898976,0.0,0,0,3.218875825,Carboxylic acids and derivatives,2.0794415416798357,0.6931471805599453
38,Ag,chem_synthesis_reduction_by_D_maltose,28.0,spherical,MIC,Actinobacillus pleuropneumoniae,Colistin,https://pubmed.ncbi.nlm.nih.gov/26832810/,24,0,107.868,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,Bacteria,Actinobacillus pleuropneumoniae,opportunistic pathogen,n,24.0,37,lungs,14.42691455,-1.637790428,23.57142857,2296.971,0.0,0.0,0.0,39.02066887,0.0,0.0,0.0,55.3898976,0.0,0,0,3.912023005,Carboxylic acids and derivatives,2.0794415416798357,0.6931471805599453
39,Ag,chem_synthesis_reduction_by_D_maltose,28.0,spherical,MIC,Pasteurella Multocida,Colistin,https://pubmed.ncbi.nlm.nih.gov/26832810/,24,0,107.868,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Pasteurella,Bacteria,Pasteurella multocida,opportunistic pathogen,n,12.0,37,lungs,14.42691455,-1.637790428,23.57142857,2296.971,0.0,0.0,0.0,39.02066887,0.0,0.0,0.0,55.3898976,0.0,0,0,3.912023005,Carboxylic acids and derivatives,2.0794415416798357,0.0
40,Ag,green_synthesis using extract of Acinetobacter baumannii,4.7,spherical,MIC,Escherichia coli,Imipenem,https://www.nature.com/articles/s41598-022-19698-0,24,0,107.868,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Bacteria,Escherichia coli,pathogenic,n,48.0,37,urine,11.93841503,-1.104253643,26.1,299.352,0.0,0.0,0.0,23.62356815,5.409283606,10.60217583,0.0,6.9237372,0.0,0,0,4.158883083,Lactams,2.0794415416798357,1.3862943611198906
41,Ag,green_synthesis using extract of Acinetobacter baumannii,4.7,spherical,MIC,Escherichia coli,Ceftriaxone,https://www.nature.com/articles/s41598-022-19698-0,24,0,107.868,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Bacteria,Escherichia coli,pathogenic,n,48.0,37,urine,12.91680492,-1.306214252,19.55555556,554.592,15.99967996,17.6943478,4.983978521,23.93344197,0.0,32.69793869,0.0,0.0,0.0,0,0,4.158883083,Lactams,6.931471805599453,2.772588722239781
42,Ag,green_synthesis using extract of Acinetobacter baumannii,4.7,spherical,MIC,Escherichia coli,Cefepime,https://www.nature.com/articles/s41598-022-19698-0,24,0,107.868,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Bacteria,Escherichia coli,pathogenic,n,48.0,37,urine,12.89283297,-1.366845971,24.75,480.572,10.84324348,11.81435946,0.0,29.54766415,0.0,22.34413461,0.0,5.38006277,0.0,0,0,4.158883083,Lactams,6.931471805599453,2.772588722239781
43,Ag,green_synthesis using extract of Acinetobacter baumannii,4.7,spherical,MIC,Escherichia coli,Ceftazidime,https://www.nature.com/articles/s41598-022-19698-0,24,0,107.868,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Bacteria,Escherichia coli,pathogenic,n,48.0,37,urine,13.11432809,-1.753218546,19.67567568,546.587,29.78168703,11.81435946,0.0,28.83875504,0.0,52.93692296,0.0,29.09352093,6.066367068,0,0,4.158883083,Lactams,6.931471805599453,3.4657359027997265
44,Ag,green_synthesis using extract of Acinetobacter baumannii,4.7,spherical,MIC,Klebsiella sp.,Imipenem,https://www.nature.com/articles/s41598-022-19698-0,24,0,107.868,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Bacteria,Klebsiella sp.,opportunistic pathogen,n,24.0,37,respiratory tract,11.93841503,-1.104253643,26.1,299.352,0.0,0.0,0.0,23.62356815,5.409283606,10.60217583,0.0,6.9237372,0.0,0,0,4.158883083,Lactams,2.772588722239781,1.3862943611198906
45,Ag,green_synthesis using extract of Acinetobacter baumannii,4.7,spherical,MIC,Klebsiella sp.,Ceftriaxone,https://www.nature.com/articles/s41598-022-19698-0,24,0,107.868,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Bacteria,Klebsiella sp.,opportunistic pathogen,n,24.0,37,respiratory tract,12.91680492,-1.306214252,19.55555556,554.592,15.99967996,17.6943478,4.983978521,23.93344197,0.0,32.69793869,0.0,0.0,0.0,0,0,4.158883083,Lactams,6.931471805599453,2.0794415416798357
46,Ag,green_synthesis using extract of Acinetobacter baumannii,4.7,spherical,MIC,Klebsiella sp.,Cefepime,https://www.nature.com/articles/s41598-022-19698-0,24,0,107.868,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Bacteria,Klebsiella sp.,opportunistic pathogen,n,24.0,37,respiratory tract,12.89283297,-1.366845971,24.75,480.572,10.84324348,11.81435946,0.0,29.54766415,0.0,22.34413461,0.0,5.38006277,0.0,0,0,4.158883083,Lactams,4.1588830833596715,2.772588722239781
47,Ag,green_synthesis using extract of Acinetobacter baumannii,4.7,spherical,MIC,Klebsiella sp.,Ceftazidime,https://www.nature.com/articles/s41598-022-19698-0,24,0,107.868,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Bacteria,Klebsiella sp.,opportunistic pathogen,n,24.0,37,respiratory tract,13.11432809,-1.753218546,19.67567568,546.587,29.78168703,11.81435946,0.0,28.83875504,0.0,52.93692296,0.0,29.09352093,6.066367068,0,0,4.158883083,Lactams,4.1588830833596715,2.0794415416798357
48,Ag,green_synthesis using extract of Acinetobacter baumannii,4.7,spherical,MIC,Pseudomonas aeruginosa,Imipenem,https://www.nature.com/articles/s41598-022-19698-0,24,0,107.868,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Bacteria,Pseudomonas aeruginosa,opportunistic pathogen,n,24.0,37,soil,11.93841503,-1.104253643,26.1,299.352,0.0,0.0,0.0,23.62356815,5.409283606,10.60217583,0.0,6.9237372,0.0,0,0,4.158883083,Lactams,2.0794415416798357,1.3862943611198906
