,NP,NP_Synthesis,NP_concentration (μg/ml),NP size_min (nm),NP size_max (nm),NP size_avg (nm),shape,method,Bacteria,ZOI_NP (mm),reference,time (hr),MDR,Valance_electron,amw,lipinskiHBA,lipinskiHBD,NumRotatableBonds,NumHBD,NumHBA,NumHeavyAtoms,NumAtoms,NumHeteroatoms,NumAmideBonds,FractionCSP3,NumRings,NumAromaticRings,NumAliphaticRings,NumSaturatedRings,NumHeterocycles,NumAromaticHeterocycles,NumSaturatedHeterocycles,NumAliphaticHeterocycles,NumSpiroAtoms,NumBridgeheadAtoms,NumAtomStereoCenters,NumUnspecifiedAtomStereoCenters,labuteASA,tpsa,CrippenClogP,CrippenMR,chi0v,chi1v,chi2v,chi3v,chi4v,chi0n,chi1n,chi2n,chi3n,chi4n,hallKierAlpha,kappa1,kappa2,kappa3,Phi,Phylum,Class,Order,Family,Genus,Superkingdom,Species,bac_type,gram,"min_Incub_period, h","avg_Incub_period, h","max_Incub_period, h","growth_temp, C",biosafety_level,isolated_from
10,Ag,green_synthesis from fungus  Phytophthora infestans,5.0,5.0,80.0,60.0,spherical,disc_diffusion,Staphylococcus aureus,17.0,https://www.nature.com/articles/srep29982,24.0,0.0,11,107.868,0,0,0,0,0,1,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,23.00188061,0.0,-0.0025,0.0,1.78376517,0.0,0.0,0.0,0.0,0.301511345,0.0,0.0,0.0,0.0,0.74025974,1.74025974,0.091136933,2.143768512,0.158601936,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Bacteria,Staphylococcus aureus,pathogenic,p,24.0,36.0,48.0,37.0,2.0,skin
11,Ag,green_synthesis from fungus  Phytophthora infestans,2.5,5.0,80.0,60.0,spherical,disc_diffusion,Pseudomonas aeruginosa,12.0,https://www.nature.com/articles/srep29982,24.0,0.0,11,107.868,0,0,0,0,0,1,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,23.00188061,0.0,-0.0025,0.0,1.78376517,0.0,0.0,0.0,0.0,0.301511345,0.0,0.0,0.0,0.0,0.74025974,1.74025974,0.091136933,2.143768512,0.158601936,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Bacteria,Pseudomonas aeruginosa,opportunistic pathogen,n,24.0,48.0,72.0,37.0,2.0,soil
12,Ag,green_synthesis from fungus  Phytophthora infestans,2.5,5.0,80.0,60.0,spherical,disc_diffusion,Pseudomonas aeruginosa,13.0,https://www.nature.com/articles/srep29982,24.0,0.0,11,107.868,0,0,0,0,0,1,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,23.00188061,0.0,-0.0025,0.0,1.78376517,0.0,0.0,0.0,0.0,0.301511345,0.0,0.0,0.0,0.0,0.74025974,1.74025974,0.091136933,2.143768512,0.158601936,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Bacteria,Pseudomonas aeruginosa,opportunistic pathogen,n,24.0,48.0,72.0,37.0,2.0,soil
13,Ag,green_synthesis from fungus  Phytophthora infestans,2.5,5.0,80.0,60.0,spherical,disc_diffusion,Pseudomonas aeruginosa,14.0,https://www.nature.com/articles/srep29982,24.0,0.0,11,107.868,0,0,0,0,0,1,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,23.00188061,0.0,-0.0025,0.0,1.78376517,0.0,0.0,0.0,0.0,0.301511345,0.0,0.0,0.0,0.0,0.74025974,1.74025974,0.091136933,2.143768512,0.158601936,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Bacteria,Pseudomonas aeruginosa,opportunistic pathogen,n,24.0,48.0,72.0,37.0,2.0,soil
14,Ag,green_synthesis from fungus  Phytophthora infestans,2.5,5.0,80.0,60.0,spherical,disc_diffusion,Pseudomonas aeruginosa,18.0,https://www.nature.com/articles/srep29982,24.0,0.0,11,107.868,0,0,0,0,0,1,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,23.00188061,0.0,-0.0025,0.0,1.78376517,0.0,0.0,0.0,0.0,0.301511345,0.0,0.0,0.0,0.0,0.74025974,1.74025974,0.091136933,2.143768512,0.158601936,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Bacteria,Pseudomonas aeruginosa,opportunistic pathogen,n,24.0,48.0,72.0,37.0,2.0,soil
15,Ag,green_synthesis from fungus  Phytophthora infestans,2.5,5.0,80.0,60.0,spherical,disc_diffusion,Escherichia coli,20.0,https://www.nature.com/articles/srep29982,24.0,0.0,11,107.868,0,0,0,0,0,1,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,23.00188061,0.0,-0.0025,0.0,1.78376517,0.0,0.0,0.0,0.0,0.301511345,0.0,0.0,0.0,0.0,0.74025974,1.74025974,0.091136933,2.143768512,0.158601936,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Bacteria,Escherichia coli,pathogenic,n,48.0,84.0,120.0,37.0,2.0,urine
16,Ag,green_synthesis from fungus  Phytophthora infestans,2.5,5.0,80.0,60.0,spherical,disc_diffusion,Escherichia coli,21.0,https://www.nature.com/articles/srep29982,24.0,0.0,11,107.868,0,0,0,0,0,1,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,23.00188061,0.0,-0.0025,0.0,1.78376517,0.0,0.0,0.0,0.0,0.301511345,0.0,0.0,0.0,0.0,0.74025974,1.74025974,0.091136933,2.143768512,0.158601936,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Bacteria,Escherichia coli,pathogenic,n,48.0,84.0,120.0,37.0,2.0,urine
17,Ag,green_synthesis from fungus  Phytophthora infestans,2.5,5.0,80.0,60.0,spherical,disc_diffusion,Escherichia coli,13.0,https://www.nature.com/articles/srep29982,24.0,0.0,11,107.868,0,0,0,0,0,1,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,23.00188061,0.0,-0.0025,0.0,1.78376517,0.0,0.0,0.0,0.0,0.301511345,0.0,0.0,0.0,0.0,0.74025974,1.74025974,0.091136933,2.143768512,0.158601936,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Bacteria,Escherichia coli,pathogenic,n,48.0,84.0,120.0,37.0,2.0,urine
18,Ag,green_synthesis from fungus  Phytophthora infestans,2.5,5.0,80.0,60.0,spherical,disc_diffusion,Escherichia coli,15.0,https://www.nature.com/articles/srep29982,24.0,0.0,11,107.868,0,0,0,0,0,1,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,23.00188061,0.0,-0.0025,0.0,1.78376517,0.0,0.0,0.0,0.0,0.301511345,0.0,0.0,0.0,0.0,0.74025974,1.74025974,0.091136933,2.143768512,0.158601936,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Bacteria,Escherichia coli,pathogenic,n,48.0,84.0,120.0,37.0,2.0,urine
19,Ag,green_synthesis from fungus  Phytophthora infestans,2.5,5.0,80.0,60.0,spherical,disc_diffusion,Escherichia coli,16.0,https://www.nature.com/articles/srep29982,24.0,0.0,11,107.868,0,0,0,0,0,1,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,23.00188061,0.0,-0.0025,0.0,1.78376517,0.0,0.0,0.0,0.0,0.301511345,0.0,0.0,0.0,0.0,0.74025974,1.74025974,0.091136933,2.143768512,0.158601936,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Bacteria,Escherichia coli,pathogenic,n,48.0,84.0,120.0,37.0,2.0,urine
20,Ag,green_synthesis from fungus  Phytophthora infestans,2.5,5.0,80.0,60.0,spherical,disc_diffusion,Escherichia coli,18.0,https://www.nature.com/articles/srep29982,24.0,0.0,11,107.868,0,0,0,0,0,1,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,23.00188061,0.0,-0.0025,0.0,1.78376517,0.0,0.0,0.0,0.0,0.301511345,0.0,0.0,0.0,0.0,0.74025974,1.74025974,0.091136933,2.143768512,0.158601936,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Bacteria,Escherichia coli,pathogenic,n,48.0,84.0,120.0,37.0,2.0,urine
21,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,1000.0,8.0,20.0,13.5,nanorods and triangles,disc_diffusion,Acinetobacter baumannii,13.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,18.0,0.0,11,107.868,0,0,0,0,0,1,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,23.00188061,0.0,-0.0025,0.0,1.78376517,0.0,0.0,0.0,0.0,0.301511345,0.0,0.0,0.0,0.0,0.74025974,1.74025974,0.091136933,2.143768512,0.158601936,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Bacteria,Acinetobacter baumannii,pathogenic,n,24.0,36.0,48.0,37.0,2.0,urine
22,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,500.0,8.0,20.0,13.5,nanorods and triangles,disc_diffusion,Acinetobacter baumannii,12.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,18.0,0.0,11,107.868,0,0,0,0,0,1,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,23.00188061,0.0,-0.0025,0.0,1.78376517,0.0,0.0,0.0,0.0,0.301511345,0.0,0.0,0.0,0.0,0.74025974,1.74025974,0.091136933,2.143768512,0.158601936,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Bacteria,Acinetobacter baumannii,pathogenic,n,24.0,36.0,48.0,37.0,2.0,urine
23,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,300.0,8.0,20.0,13.5,nanorods and triangles,disc_diffusion,Acinetobacter baumannii,11.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,18.0,0.0,11,107.868,0,0,0,0,0,1,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,23.00188061,0.0,-0.0025,0.0,1.78376517,0.0,0.0,0.0,0.0,0.301511345,0.0,0.0,0.0,0.0,0.74025974,1.74025974,0.091136933,2.143768512,0.158601936,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Bacteria,Acinetobacter baumannii,pathogenic,n,24.0,36.0,48.0,37.0,2.0,urine
24,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,100.0,8.0,20.0,13.5,nanorods and triangles,disc_diffusion,Acinetobacter baumannii,10.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,18.0,0.0,11,107.868,0,0,0,0,0,1,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,23.00188061,0.0,-0.0025,0.0,1.78376517,0.0,0.0,0.0,0.0,0.301511345,0.0,0.0,0.0,0.0,0.74025974,1.74025974,0.091136933,2.143768512,0.158601936,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Bacteria,Acinetobacter baumannii,pathogenic,n,24.0,36.0,48.0,37.0,2.0,urine
25,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,50.0,8.0,20.0,13.5,nanorods and triangles,disc_diffusion,Acinetobacter baumannii,8.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,18.0,0.0,11,107.868,0,0,0,0,0,1,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,23.00188061,0.0,-0.0025,0.0,1.78376517,0.0,0.0,0.0,0.0,0.301511345,0.0,0.0,0.0,0.0,0.74025974,1.74025974,0.091136933,2.143768512,0.158601936,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Bacteria,Acinetobacter baumannii,pathogenic,n,24.0,36.0,48.0,37.0,2.0,urine
26,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,30.0,8.0,20.0,13.5,nanorods and triangles,disc_diffusion,Acinetobacter baumannii,0.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,18.0,0.0,11,107.868,0,0,0,0,0,1,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,23.00188061,0.0,-0.0025,0.0,1.78376517,0.0,0.0,0.0,0.0,0.301511345,0.0,0.0,0.0,0.0,0.74025974,1.74025974,0.091136933,2.143768512,0.158601936,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Bacteria,Acinetobacter baumannii,pathogenic,n,24.0,36.0,48.0,37.0,2.0,urine
27,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,20.0,8.0,20.0,13.5,nanorods and triangles,disc_diffusion,Acinetobacter baumannii,0.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,18.0,0.0,11,107.868,0,0,0,0,0,1,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,23.00188061,0.0,-0.0025,0.0,1.78376517,0.0,0.0,0.0,0.0,0.301511345,0.0,0.0,0.0,0.0,0.74025974,1.74025974,0.091136933,2.143768512,0.158601936,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Bacteria,Acinetobacter baumannii,pathogenic,n,24.0,36.0,48.0,37.0,2.0,urine
28,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,10.0,8.0,20.0,13.5,nanorods and triangles,disc_diffusion,Acinetobacter baumannii,0.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,18.0,0.0,11,107.868,0,0,0,0,0,1,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,23.00188061,0.0,-0.0025,0.0,1.78376517,0.0,0.0,0.0,0.0,0.301511345,0.0,0.0,0.0,0.0,0.74025974,1.74025974,0.091136933,2.143768512,0.158601936,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Bacteria,Acinetobacter baumannii,pathogenic,n,24.0,36.0,48.0,37.0,2.0,urine
29,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,1000.0,8.0,20.0,13.5,nanorods and triangles,disc_diffusion,Enterobacter cloacae,12.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,18.0,0.0,11,107.868,0,0,0,0,0,1,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,23.00188061,0.0,-0.0025,0.0,1.78376517,0.0,0.0,0.0,0.0,0.301511345,0.0,0.0,0.0,0.0,0.74025974,1.74025974,0.091136933,2.143768512,0.158601936,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Bacteria,Enterobacter cloacae,opportunistic pathogen,n,12.0,42.0,72.0,30.0,2.0,water
30,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,500.0,8.0,20.0,13.5,nanorods and triangles,disc_diffusion,Enterobacter cloacae,10.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,18.0,0.0,11,107.868,0,0,0,0,0,1,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,23.00188061,0.0,-0.0025,0.0,1.78376517,0.0,0.0,0.0,0.0,0.301511345,0.0,0.0,0.0,0.0,0.74025974,1.74025974,0.091136933,2.143768512,0.158601936,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Bacteria,Enterobacter cloacae,opportunistic pathogen,n,12.0,42.0,72.0,30.0,2.0,water
31,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,300.0,8.0,20.0,13.5,nanorods and triangles,disc_diffusion,Enterobacter cloacae,8.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,18.0,0.0,11,107.868,0,0,0,0,0,1,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,23.00188061,0.0,-0.0025,0.0,1.78376517,0.0,0.0,0.0,0.0,0.301511345,0.0,0.0,0.0,0.0,0.74025974,1.74025974,0.091136933,2.143768512,0.158601936,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Bacteria,Enterobacter cloacae,opportunistic pathogen,n,12.0,42.0,72.0,30.0,2.0,water
32,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,100.0,8.0,20.0,13.5,nanorods and triangles,disc_diffusion,Enterobacter cloacae,0.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,18.0,0.0,11,107.868,0,0,0,0,0,1,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,23.00188061,0.0,-0.0025,0.0,1.78376517,0.0,0.0,0.0,0.0,0.301511345,0.0,0.0,0.0,0.0,0.74025974,1.74025974,0.091136933,2.143768512,0.158601936,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Bacteria,Enterobacter cloacae,opportunistic pathogen,n,12.0,42.0,72.0,30.0,2.0,water
33,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,50.0,8.0,20.0,13.5,nanorods and triangles,disc_diffusion,Enterobacter cloacae,0.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,18.0,0.0,11,107.868,0,0,0,0,0,1,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,23.00188061,0.0,-0.0025,0.0,1.78376517,0.0,0.0,0.0,0.0,0.301511345,0.0,0.0,0.0,0.0,0.74025974,1.74025974,0.091136933,2.143768512,0.158601936,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Bacteria,Enterobacter cloacae,opportunistic pathogen,n,12.0,42.0,72.0,30.0,2.0,water
34,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,30.0,8.0,20.0,13.5,nanorods and triangles,disc_diffusion,Enterobacter cloacae,0.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,18.0,0.0,11,107.868,0,0,0,0,0,1,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,23.00188061,0.0,-0.0025,0.0,1.78376517,0.0,0.0,0.0,0.0,0.301511345,0.0,0.0,0.0,0.0,0.74025974,1.74025974,0.091136933,2.143768512,0.158601936,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Bacteria,Enterobacter cloacae,opportunistic pathogen,n,12.0,42.0,72.0,30.0,2.0,water
35,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,20.0,8.0,20.0,13.5,nanorods and triangles,disc_diffusion,Enterobacter cloacae,0.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,18.0,0.0,11,107.868,0,0,0,0,0,1,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,23.00188061,0.0,-0.0025,0.0,1.78376517,0.0,0.0,0.0,0.0,0.301511345,0.0,0.0,0.0,0.0,0.74025974,1.74025974,0.091136933,2.143768512,0.158601936,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Bacteria,Enterobacter cloacae,opportunistic pathogen,n,12.0,42.0,72.0,30.0,2.0,water
36,Ag,green_synthesis using Dioscorea bulbifera tuber extract ,10.0,8.0,20.0,13.5,nanorods and triangles,disc_diffusion,Enterobacter cloacae,0.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273981/,18.0,0.0,11,107.868,0,0,0,0,0,1,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,23.00188061,0.0,-0.0025,0.0,1.78376517,0.0,0.0,0.0,0.0,0.301511345,0.0,0.0,0.0,0.0,0.74025974,1.74025974,0.091136933,2.143768512,0.158601936,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Bacteria,Enterobacter cloacae,opportunistic pathogen,n,12.0,42.0,72.0,30.0,2.0,water
